StatusExistingAcc,DurationMonth,CreditHistory,Purpose,CreditAmount,SavingsAccount,EmploymentLength,InstallmentRate,MarriedNSex,Debtors,ResidenceLength,Property,Age,InstallmentPlans,Housing,ExistingCredit,Job,NumPeopleLiable,Telephone,ForeignWorker,CreditEval,AgeBinary
14,24,32,42,3972,61,74,2,92,101,4,122,25,143,151,1,173,1,192,201,1,young
12,24,34,49,1935,61,75,4,91,101,4,121,31,143,152,2,173,1,192,201,2,other
11,15,30,40,950,61,75,4,93,101,3,123,33,143,151,2,173,2,191,201,2,other
14,12,32,42,763,61,73,4,92,101,1,121,26,143,152,1,173,1,192,201,1,other
12,24,33,42,2064,61,71,3,92,101,2,122,34,143,152,1,174,1,192,201,2,other
12,8,32,43,1414,61,73,4,93,103,2,121,33,143,152,1,173,1,191,202,1,other
11,21,33,46,3414,61,72,2,93,101,1,122,26,143,152,2,173,1,191,201,2,other
14,30,31,41,7485,65,71,4,92,101,1,121,53,141,152,1,174,1,192,201,2,other
11,12,32,42,2577,61,73,2,91,101,1,123,42,143,152,1,173,1,191,201,1,other
11,6,34,43,338,63,75,4,93,101,4,123,52,143,152,2,173,1,191,201,1,other
14,12,32,43,1963,61,74,4,93,101,2,123,31,143,151,2,174,2,192,201,1,other
11,21,34,40,571,61,75,4,93,101,4,121,65,143,152,2,173,1,191,201,1,other
14,36,33,49,9572,61,72,1,91,101,1,123,28,143,152,2,173,1,191,201,2,other
12,36,33,49,4455,61,73,2,91,101,2,121,30,142,152,2,174,1,192,201,2,other
11,21,31,40,1647,65,73,4,93,101,2,122,40,143,152,2,172,2,191,201,2,other
14,24,34,42,3777,64,73,4,93,101,4,121,50,143,152,1,173,1,192,201,1,other
12,18,34,40,884,61,75,4,93,101,4,123,36,141,152,1,173,2,192,201,2,other
14,15,34,43,1360,61,73,4,93,101,2,122,31,143,152,2,173,1,191,201,1,other
12,9,31,41,5129,61,75,2,92,101,4,124,74,141,153,1,174,2,192,201,2,other
12,16,34,40,1175,61,71,2,93,101,3,123,68,143,153,3,171,1,192,201,1,other
11,12,32,43,674,62,74,4,94,101,1,122,20,143,152,1,173,1,191,201,2,young
12,18,30,42,3244,61,73,1,92,101,4,123,33,141,152,2,173,1,192,201,1,other
14,24,32,49,4591,64,73,2,93,101,3,122,54,143,152,3,174,1,192,201,2,other
12,48,30,49,3844,62,74,4,93,101,4,124,34,143,153,1,172,2,191,201,2,other
12,27,32,49,3915,61,73,4,93,101,2,123,36,143,152,1,173,2,192,201,2,other
14,6,32,43,2108,61,74,2,94,101,2,121,29,143,151,1,173,1,191,201,1,other
12,45,32,43,3031,62,73,4,93,103,4,122,21,143,151,1,173,1,191,201,2,young
12,9,34,46,1501,61,75,2,92,101,3,123,34,143,152,2,174,1,192,201,2,other
14,6,34,43,1382,61,73,1,92,101,1,123,28,143,152,2,173,1,192,201,1,other
12,12,32,42,951,62,72,4,92,101,4,123,27,141,151,4,173,1,191,201,2,other
12,24,32,41,2760,65,75,4,93,101,4,124,36,141,153,1,173,1,192,201,1,other
12,18,33,42,4297,61,75,4,91,101,3,124,40,143,152,1,174,1,192,201,2,other
14,9,34,46,936,63,75,4,93,101,2,123,52,143,152,2,173,1,192,201,1,other
11,12,32,40,1168,61,73,4,94,101,3,121,27,143,152,1,172,1,191,201,1,other
14,27,33,49,5117,61,74,3,93,101,4,123,26,143,152,2,173,1,191,201,1,other
11,12,32,48,902,61,74,4,94,101,4,122,21,143,151,1,173,1,191,201,2,young
14,12,34,40,1495,61,75,4,93,101,1,121,38,143,152,2,172,2,191,201,1,other
11,30,34,41,10623,61,75,3,93,101,4,124,38,143,153,3,174,2,192,201,1,other
14,12,34,42,1935,61,75,4,93,101,4,121,43,143,152,3,173,1,192,201,1,other
12,12,34,44,1424,61,74,4,93,101,3,122,26,143,152,1,173,1,191,201,1,other
11,24,32,49,6568,61,73,2,94,101,2,123,21,142,152,1,172,1,191,201,1,young
14,12,32,41,1413,64,74,3,93,101,2,122,55,143,152,1,173,1,191,202,1,other
14,9,34,43,3074,65,73,1,93,101,2,121,33,143,152,2,173,2,191,201,1,other
14,36,32,43,3835,65,75,2,92,101,4,121,45,143,152,1,172,1,192,201,1,other
11,27,30,49,5293,61,71,2,93,101,4,122,50,142,152,2,173,1,192,201,2,other
13,30,33,49,1908,61,75,4,93,101,4,121,66,143,152,1,174,1,192,201,2,other
14,36,34,43,3342,65,75,4,93,101,2,123,51,143,152,1,173,1,192,201,1,other
12,6,34,48,932,65,74,1,92,101,3,122,39,143,152,2,172,1,191,201,1,other
11,18,30,49,3104,61,74,3,93,101,1,122,31,141,152,1,173,1,192,201,1,other
13,36,32,43,3913,61,73,2,93,101,2,121,23,143,152,1,173,1,192,201,1,young
11,24,32,42,3021,61,73,2,91,101,2,121,24,143,151,1,172,1,191,201,1,young
14,10,32,40,1364,61,73,2,92,101,4,123,64,143,152,1,173,1,192,201,1,other
12,12,32,43,625,61,72,4,94,103,1,121,26,141,152,1,172,1,191,201,1,other
11,12,32,46,1200,65,73,4,92,101,4,122,23,141,151,1,173,1,192,201,1,young
14,12,32,43,707,61,73,4,93,101,2,121,30,141,152,2,173,1,191,201,1,other
14,24,33,49,2978,65,73,4,93,101,4,121,32,143,152,2,173,2,192,201,1,other
14,15,32,41,4657,61,73,3,93,101,2,123,30,143,152,1,173,1,192,201,1,other
14,36,30,45,2613,61,73,4,93,101,2,123,27,143,152,2,173,1,191,201,1,other
12,48,32,43,10961,64,74,1,93,102,2,124,27,141,152,2,173,1,192,201,2,other
11,12,32,42,7865,61,75,4,93,101,4,124,53,143,153,1,174,1,192,201,2,other
14,9,32,43,1478,61,74,4,93,101,2,123,22,143,152,1,173,1,191,201,2,young
11,24,32,42,3149,61,72,4,93,101,1,124,22,141,153,1,173,1,191,201,1,young
13,36,32,43,4210,61,73,4,93,101,2,123,26,143,152,1,173,1,191,201,2,other
14,9,32,40,2507,63,75,2,93,101,4,124,51,143,153,1,172,1,191,201,1,other
14,12,32,43,2141,62,74,3,93,101,1,124,35,143,152,1,173,1,191,201,1,other
12,18,32,43,866,61,73,4,94,103,2,121,25,143,152,1,172,1,191,201,1,young
14,4,34,43,1544,61,74,2,93,101,1,121,42,143,152,3,172,2,191,201,1,other
11,24,32,43,1823,61,71,4,93,101,2,123,30,142,152,1,174,2,191,201,2,other
12,6,32,40,14555,65,71,1,93,101,2,122,23,143,152,1,171,1,192,201,2,young
12,21,32,49,2767,62,75,4,91,101,2,123,61,141,151,2,172,1,191,201,2,other
14,12,34,43,1291,61,73,4,92,101,2,122,35,143,152,2,173,1,191,201,1,other
11,30,32,43,2522,61,75,1,93,103,3,122,39,143,152,1,173,2,191,201,1,other
11,24,32,40,915,65,75,4,92,101,2,123,29,141,152,1,173,1,191,201,2,other
14,6,32,43,1595,61,74,3,93,101,2,122,51,143,152,1,173,2,191,201,1,other
11,48,30,41,4605,61,75,3,93,101,4,124,24,143,153,2,173,2,191,201,2,young
14,12,34,49,1185,61,73,3,92,101,2,121,27,143,152,2,173,1,191,201,1,other
14,12,31,48,3447,63,73,4,92,101,3,121,35,143,152,1,172,2,191,201,1,other
14,24,32,49,1258,61,74,4,93,101,1,121,25,143,152,1,173,1,192,201,1,young
14,12,34,43,717,61,75,4,93,101,4,121,52,143,152,3,173,1,191,201,1,other
14,6,30,40,1204,62,73,4,93,101,1,124,35,141,151,1,173,1,191,202,1,other
13,24,32,42,1925,61,73,2,93,101,2,121,26,143,152,1,173,1,191,201,1,other
14,18,32,43,433,61,71,3,92,102,4,121,22,143,151,1,173,1,191,201,2,young
11,6,34,40,666,64,74,3,92,101,4,121,39,143,152,2,172,1,192,201,1,other
13,12,32,42,2251,61,73,1,92,101,2,123,46,143,152,1,172,1,191,201,1,other
12,30,32,40,2150,61,73,4,92,103,2,124,24,141,152,1,173,1,191,201,2,young
14,24,33,42,4151,62,73,2,93,101,3,122,35,143,152,2,173,1,191,201,1,other
12,9,32,42,2030,65,74,2,93,101,1,123,24,143,152,1,173,1,192,201,1,young
12,60,33,43,7418,65,73,1,93,101,1,121,27,143,152,1,172,1,191,201,1,other
14,24,34,43,2684,61,73,4,93,101,2,121,35,143,152,2,172,1,191,201,1,other
11,12,31,43,2149,61,73,4,91,101,1,124,29,143,153,1,173,1,191,201,2,other
14,15,32,41,3812,62,72,1,92,101,4,123,23,143,152,1,173,1,192,201,1,young
14,11,34,43,1154,62,71,4,92,101,4,121,57,143,152,3,172,1,191,201,1,other
11,12,32,42,1657,61,73,2,93,101,2,121,27,143,152,1,173,1,191,201,1,other
11,24,32,43,1603,61,75,4,92,101,4,123,55,143,152,1,173,1,191,201,1,other
11,18,34,40,5302,61,75,2,93,101,4,124,36,143,153,3,174,1,192,201,1,other
14,12,34,46,2748,61,75,2,92,101,4,124,57,141,153,3,172,1,191,201,1,other
14,10,34,40,1231,61,75,3,93,101,4,121,32,143,152,2,172,2,191,202,1,other
12,15,32,43,802,61,75,4,93,101,3,123,37,143,152,1,173,2,191,201,2,other
14,36,34,49,6304,65,75,4,93,101,4,121,36,143,152,2,173,1,191,201,1,other
14,24,32,43,1533,61,72,4,92,101,3,123,38,142,152,1,173,1,192,201,1,other
11,14,32,40,8978,61,75,1,91,101,4,122,45,143,152,1,174,1,192,202,2,other
14,24,32,43,999,65,75,4,93,101,2,123,25,143,152,2,173,1,191,201,1,young
14,18,32,40,2662,65,74,4,93,101,3,122,32,143,152,1,173,1,191,202,1,other
14,12,34,42,1402,63,74,3,92,101,4,123,37,143,151,1,173,1,192,201,1,other
12,48,31,40,12169,65,71,4,93,102,4,124,36,143,153,1,174,1,192,201,1,other
12,48,32,43,3060,61,74,4,93,101,4,121,28,143,152,2,173,1,191,201,2,other
11,30,32,45,11998,61,72,1,91,101,1,124,34,143,152,1,172,1,192,201,2,other
14,9,32,43,2697,61,73,1,93,101,2,121,32,143,152,1,173,2,191,201,1,other
14,18,34,43,2404,61,73,2,92,101,2,123,26,143,152,2,173,1,191,201,1,other
11,12,32,42,1262,65,75,2,91,101,4,122,49,143,152,1,172,1,192,201,1,other
14,6,32,42,4611,61,72,1,92,101,4,122,32,143,152,1,173,1,191,201,2,other
14,24,32,43,1901,62,73,4,93,101,4,123,29,143,151,1,174,1,192,201,1,other
14,15,34,41,3368,64,75,3,93,101,4,124,23,143,151,2,173,1,192,201,1,young
14,12,32,42,1574,61,73,4,93,101,2,121,50,143,152,1,173,1,191,201,1,other
13,18,31,43,1445,65,74,4,93,101,4,123,49,141,152,1,172,1,191,201,1,other
14,15,34,42,1520,65,75,4,93,101,4,122,63,143,152,1,173,1,191,201,1,other
12,24,34,40,3878,62,72,4,91,101,2,123,37,143,152,1,173,1,192,201,1,other
11,47,32,40,10722,61,72,1,92,101,1,121,35,143,152,1,172,1,192,201,1,other
11,48,32,41,4788,61,74,4,93,101,3,122,26,143,152,1,173,2,191,201,1,other
12,48,33,410,7582,62,71,2,93,101,4,124,31,143,153,1,174,1,192,201,1,other
12,12,32,43,1092,61,73,4,92,103,4,121,49,143,152,2,173,1,192,201,1,other
11,24,33,43,1024,61,72,4,94,101,4,121,48,142,152,1,173,1,191,201,2,other
14,12,32,49,1076,61,73,2,94,101,2,121,26,143,152,1,173,1,192,202,1,other
12,36,32,41,9398,61,72,1,94,101,4,123,28,143,151,1,174,1,192,201,2,other
11,24,34,41,6419,61,75,2,92,101,4,124,44,143,153,2,174,2,192,201,1,other
13,42,34,41,4796,61,75,4,93,101,4,124,56,143,153,1,173,1,191,201,1,other
14,48,34,49,7629,65,75,4,91,101,2,123,46,141,152,2,174,2,191,201,1,other
12,48,32,42,9960,61,72,1,92,101,2,123,26,143,152,1,173,1,192,201,2,other
14,12,32,41,4675,65,72,1,92,101,4,123,20,143,151,1,173,1,191,201,1,young
14,10,32,40,1287,65,75,4,93,102,2,122,45,143,152,1,172,1,191,202,1,other
14,18,32,42,2515,61,73,3,93,101,4,121,43,143,152,1,173,1,192,201,1,other
12,21,34,42,2745,64,74,3,93,101,2,123,32,143,152,2,173,1,192,201,1,other
14,6,32,40,672,61,71,1,92,101,4,121,54,143,152,1,171,1,192,201,1,other
12,36,30,43,3804,61,73,4,92,101,1,123,42,143,152,1,173,1,192,201,2,other
13,24,34,40,1344,65,74,4,93,101,2,121,37,141,152,2,172,2,191,201,2,other
11,10,34,40,1038,61,74,4,93,102,3,122,49,143,152,2,173,1,192,201,1,other
14,48,34,40,10127,63,73,2,93,101,2,124,44,141,153,1,173,1,191,201,2,other
