ID,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20.0,43.0, Self-emp-not-inc,292175.0, Masters,14.0, Divorced, Exec-managerial,, White,,0.0,0.0,45.0, United-States,
21.0,40.0, Private,193524.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White,,0.0,0.0,60.0, United-States, >50K
,,,302146.0,,9.0, Separated, Other-service, Unmarried, Black, Female,0.0,0.0,20.0, United-States, <=50K
23.0,35.0, Federal-gov,76845.0, 9th,5.0, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0.0,,40.0, United-States,
24.0,43.0,,117037.0,,,,, Husband,, Male,,,40.0, United-States, <=50K
25.0,59.0, Private,109015.0, HS-grad,9.0,, Tech-support, Unmarried, White, Female,0.0,0.0,40.0, United-States,
,56.0, Local-gov,216851.0,,13.0,, Tech-support, Husband, White, Male,0.0,0.0,40.0, United-States,
27.0,19.0,,168294.0, HS-grad,9.0, Never-married,, Own-child,,,0.0,,40.0, United-States, <=50K
,54.0,,180211.0, Some-college,10.0, Married-civ-spouse, ?,,, Male,0.0,0.0,60.0, South,
,39.0,,367260.0, HS-grad,9.0, Divorced, Exec-managerial, Not-in-family, White,,,0.0,80.0, United-States, <=50K
,49.0,,193366.0, HS-grad,9.0, Married-civ-spouse,,, White,,,0.0,40.0,, <=50K
,23.0, Local-gov,190709.0,,12.0, Never-married, Protective-serv,, White, Male,0.0,,52.0, United-States,
32.0,,,266015.0, Some-college,10.0, Never-married, Sales, Own-child, Black,,0.0,,44.0, United-States,
33.0,45.0,,386940.0, Bachelors,13.0,,, Own-child, White,,0.0,1408.0,40.0, United-States, <=50K
34.0,, Federal-gov,59951.0, Some-college,10.0, Married-civ-spouse,, Own-child, White, Male,0.0,0.0,40.0, United-States,
,,,311512.0, Some-college,10.0, Married-civ-spouse, Other-service,, Black,,0.0,,15.0, United-States, <=50K
36.0,,,242406.0, 11th,7.0, Never-married,, Unmarried, White, Male,,0.0,40.0, Puerto-Rico,
37.0,21.0,,197200.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,0.0,,40.0, United-States, <=50K
38.0,19.0,,544091.0, HS-grad,9.0, Married-AF-spouse,, Wife, White,,,,25.0, United-States, <=50K
,, Private,84154.0,,10.0, Married-civ-spouse, Sales, Husband, White,,0.0,0.0,38.0, ?, >50K
40.0,,,265477.0, Assoc-acdm,12.0,, Prof-specialty, Husband, White,,0.0,,40.0, United-States, <=50K
,31.0,,507875.0, 9th,5.0,,, Husband, White, Male,,,43.0, United-States, <=50K
42.0,53.0, Self-emp-not-inc,88506.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White,,,,40.0, United-States,
,24.0, Private,, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,,0.0,50.0, United-States, <=50K
44.0,49.0, Private,94638.0,,9.0, Separated,, Unmarried, White,,0.0,0.0,40.0, United-States, <=50K
45.0,25.0, Private,, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,,0.0,35.0, United-States,
46.0,57.0, Federal-gov,337895.0, Bachelors,13.0, Married-civ-spouse,, Husband, Black,,0.0,0.0,40.0, United-States, >50K
47.0,53.0, Private,, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0.0,,38.0, United-States,
48.0,44.0, Private,, Masters,14.0, Divorced,, Unmarried, White, Female,,0.0,40.0, United-States,
49.0,41.0,,101603.0,,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,40.0, United-States,
50.0,29.0, Private,271466.0, Assoc-voc,, Never-married, Prof-specialty, Not-in-family, White,,0.0,,43.0, United-States, <=50K
51.0,25.0,,32275.0,,10.0, Married-civ-spouse,,, Other, Female,,,40.0, United-States,
52.0,18.0, Private,226956.0, HS-grad,9.0, Never-married,,,, Female,0.0,,30.0, ?,
53.0,47.0,,51835.0, Prof-school,15.0, Married-civ-spouse, Prof-specialty, Wife, White,,0.0,1902.0,60.0, Honduras, >50K
,50.0,,251585.0, Bachelors,13.0, Divorced, Exec-managerial, Not-in-family, White, Male,0.0,0.0,55.0, United-States, >50K
,47.0,,, HS-grad,,, Exec-managerial,, White,,,0.0,60.0, United-States,
56.0,43.0, Private,237993.0,,10.0, Married-civ-spouse,, Husband, White,,,,40.0, United-States,
57.0,46.0, Private,216666.0, 5th-6th,3.0, Married-civ-spouse,, Husband, White, Male,0.0,,40.0, Mexico,
,35.0, Private,, Assoc-voc,11.0, Married-civ-spouse, Other-service, Husband, White, Male,,,40.0, Puerto-Rico, <=50K
,,,147372.0, HS-grad,9.0, Married-civ-spouse,,, White, Male,0.0,0.0,48.0, United-States,
60.0,30.0,,188146.0, HS-grad,,,, Husband, White,,5013.0,0.0,40.0, United-States, <=50K
61.0,30.0,,59496.0, Bachelors,13.0, Married-civ-spouse,,, White, Male,2407.0,,40.0, United-States, <=50K
62.0,32.0,,293936.0, 7th-8th,4.0, Married-spouse-absent, ?, Not-in-family,,,0.0,0.0,40.0, ?, <=50K
63.0,48.0,,149640.0,,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,,40.0, United-States,
64.0,42.0, Private,116632.0, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States, >50K
,29.0, Private,105598.0, Some-college,10.0, Divorced,, Not-in-family, White, Male,0.0,0.0,58.0, United-States,
66.0,36.0, Private,155537.0, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,,0.0,40.0, United-States, <=50K
,28.0, Private,, Some-college,10.0, Divorced,, Not-in-family, White, Female,0.0,0.0,40.0, United-States, <=50K
,53.0,,169846.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White,,0.0,0.0,40.0, United-States,
69.0,,,191681.0, Some-college,10.0,, Exec-managerial, Husband, White,,0.0,0.0,50.0, United-States,
70.0,25.0,,200681.0,,10.0, Never-married, ?, Own-child, White, Male,0.0,,40.0, United-States, <=50K
,19.0,,101509.0, Some-college,10.0, Never-married,, Own-child, White,,0.0,0.0,32.0, United-States,
,31.0,,309974.0, Bachelors,13.0,,, Own-child, Black, Female,0.0,,40.0, United-States, <=50K
73.0,29.0,,,,13.0, Married-civ-spouse, Sales,, White, Male,0.0,,70.0,,
74.0,23.0, Private,211678.0,,10.0, Never-married, Machine-op-inspct, Not-in-family,, Male,0.0,0.0,40.0, United-States,
,79.0,,124744.0, Some-college,10.0,,, Other-relative, White, Male,0.0,,20.0, United-States, <=50K
,27.0,,213921.0, HS-grad,9.0, Never-married, Other-service, Own-child, White,,,,, Mexico, <=50K
77.0,40.0, Private,32214.0,,12.0, Married-civ-spouse,, Husband, White, Male,,,40.0, United-States, <=50K
78.0,,,212759.0,,6.0,, ?, Husband, White, Male,,0.0,2.0, United-States,
79.0,18.0, Private,309634.0, 11th,7.0, Never-married, Other-service, Own-child, White,,,,22.0, United-States, <=50K
,31.0,,125927.0, 7th-8th,4.0,, Farming-fishing, Husband, White, Male,0.0,0.0,40.0, United-States,
81.0,18.0, Private,446839.0,,9.0, Never-married, Sales, Not-in-family, White,,,,30.0, United-States, <=50K
82.0,52.0, Private,276515.0, Bachelors,13.0, Married-civ-spouse,,, White, Male,0.0,0.0,40.0, Cuba, <=50K
83.0,46.0,,, HS-grad,9.0,,, Wife, White,,0.0,,40.0, United-States,
84.0,59.0, Private,, HS-grad,9.0, Married-civ-spouse, Sales, Husband, White,,0.0,,48.0, United-States,
85.0,44.0,,343591.0,,, Divorced,, Not-in-family,, Female,14344.0,0.0,40.0, United-States, >50K
86.0,53.0,,346253.0, HS-grad,9.0,, Sales, Own-child, White, Female,0.0,0.0,35.0, United-States, <=50K
,49.0, Local-gov,, HS-grad,9.0, Married-civ-spouse, Protective-serv, Husband, White, Male,,0.0,40.0, United-States, >50K
,, Private,202051.0,,14.0, Married-civ-spouse,,, White, Male,,,50.0, United-States, <=50K
89.0,30.0,,54334.0, 9th,5.0, Never-married,, Not-in-family, White, Male,0.0,,40.0, United-States,
90.0,43.0, Federal-gov,410867.0, Doctorate,16.0, Never-married,,, White,,0.0,0.0,50.0, United-States,
91.0,57.0, Private,, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White,,,0.0,40.0, United-States, <=50K
92.0,37.0, Private,286730.0, Some-college,10.0, Divorced,, Unmarried, White,,0.0,0.0,40.0, United-States, <=50K
93.0,28.0, Private,,,10.0, Divorced,, Unmarried, Black,,0.0,0.0,25.0, United-States, <=50K
,30.0, Private,117747.0, HS-grad,9.0, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0.0,1573.0,35.0, ?, <=50K
,,,, Bachelors,13.0, Married-civ-spouse, Protective-serv,, White, Male,0.0,0.0,40.0, United-States, >50K
96.0,29.0,,115585.0,,10.0, Never-married,, Not-in-family,,,0.0,,50.0, United-States,
97.0,48.0, Self-emp-not-inc,, Doctorate,16.0,, Prof-specialty,, White, Male,0.0,,60.0, United-States, >50K
98.0,37.0, Private,202683.0, Some-college,10.0,, Sales, Husband,,,,0.0,48.0, United-States, >50K
99.0,48.0, Private,171095.0,,12.0,,, Unmarried, White,,0.0,0.0,40.0, England, <=50K
,32.0, Federal-gov,249409.0, HS-grad,, Never-married, Other-service, Own-child, Black,,0.0,,40.0, United-States, <=50K
,76.0, Private,124191.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,,,40.0, United-States,
102.0,, Private,198282.0,,13.0, Married-civ-spouse,, Husband, White, Male,15024.0,,60.0, United-States, >50K
,47.0,,149116.0, Masters,14.0, Never-married,, Not-in-family, White,,0.0,,50.0, United-States,
104.0,,,188300.0, Some-college,10.0, Never-married, Tech-support, Own-child, White,,0.0,0.0,40.0, United-States, <=50K
,29.0,,103432.0, HS-grad,9.0, Never-married,, Not-in-family, White,,,0.0,40.0, United-States, <=50K
,32.0, Self-emp-inc,, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White,,7688.0,,40.0, United-States,
107.0,17.0, ?,304873.0, 10th,6.0, Never-married, ?,, White,,,,32.0, United-States,
,,,194901.0, 11th,7.0, Never-married,,, White, Male,,0.0,40.0, United-States, <=50K
109.0,31.0, Local-gov,189265.0, HS-grad,9.0,,, Not-in-family, White,,0.0,,40.0, United-States, <=50K
110.0,42.0,,, HS-grad,9.0, Married-civ-spouse,, Husband, White,,,0.0,40.0, United-States,
111.0,,,, Bachelors,13.0,,, Other-relative, White,,0.0,,40.0, United-States,
112.0,38.0,,65324.0, Prof-school,15.0,,, Husband, White,,,0.0,40.0, United-States,
113.0,, Self-emp-not-inc,335605.0, HS-grad,9.0,,, Husband, White, Male,0.0,,50.0, Canada, >50K
,28.0, Private,377869.0, Some-college,10.0, Married-civ-spouse, Sales, Wife, White,,4064.0,0.0,25.0, United-States, <=50K
,36.0,,102864.0, HS-grad,, Never-married,, Own-child, White, Female,0.0,,40.0, United-States, <=50K
116.0,53.0,,,,5.0, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0.0,,50.0, United-States,
117.0,56.0, Self-emp-inc,303090.0,,10.0, Married-civ-spouse, Sales,, White,,0.0,0.0,50.0, United-States, <=50K
118.0,,,,,11.0, Married-civ-spouse,, Husband, Black, Male,0.0,0.0,40.0, United-States,
119.0,, Private,247552.0, Some-college,,, Sales,, White,,0.0,,56.0, United-States,
120.0,22.0,,102632.0,,, Never-married,, Not-in-family, White, Male,0.0,,41.0, United-States,
121.0,21.0, Private,, Some-college,10.0, Never-married,, Own-child,,,0.0,0.0,40.0, United-States, <=50K
122.0,40.0, Private,, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,,60.0, United-States, <=50K
123.0,30.0, Private,77143.0, Bachelors,13.0, Never-married,, Own-child, Black,,0.0,,40.0, Germany, <=50K
,29.0, State-gov,, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,,0.0,50.0, United-States, >50K
125.0,19.0, Private,301606.0, Some-college,, Never-married,, Own-child, Black, Male,0.0,0.0,35.0, United-States,
,47.0, Private,287828.0, Bachelors,13.0,, Exec-managerial, Wife, White, Female,0.0,0.0,40.0, United-States, >50K
127.0,20.0,,111697.0, Some-college,, Never-married, Adm-clerical,, White, Female,0.0,,28.0, United-States, <=50K
,31.0,,114937.0,,12.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,40.0, United-States,
,35.0, ?,129305.0, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,0.0,,40.0, United-States,
,39.0, Private,365739.0,,10.0,, Craft-repair, Not-in-family, White,,0.0,0.0,40.0, United-States,
131.0,28.0, Private,69621.0,,12.0, Never-married, Sales, Not-in-family,, Female,0.0,0.0,60.0, United-States, <=50K
132.0,24.0, Private,, HS-grad,9.0, Never-married,, Not-in-family, White, Female,0.0,1762.0,40.0, United-States,
133.0,38.0,,120985.0, HS-grad,9.0, Married-civ-spouse, Craft-repair,, White,,4386.0,0.0,35.0, United-States,
134.0,,,254202.0, Bachelors,13.0, Married-civ-spouse,,, White,,,,50.0, United-States,
135.0,46.0, Private,, Assoc-acdm,12.0, Divorced, Tech-support,, Black,,,0.0,36.0, United-States,
,38.0, Federal-gov,125933.0, Masters,14.0,,,,,,,0.0,40.0, Iran,
137.0,43.0,,56920.0,,9.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,60.0, United-States, <=50K
138.0,, Private,163127.0, Assoc-voc,,,, Wife, White,,0.0,0.0,, United-States, <=50K
,20.0,,34310.0, Some-college,10.0, Never-married,, Own-child, White,,0.0,,20.0, United-States,
,49.0, Private,81973.0, Some-college,10.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0.0,,40.0, United-States,
141.0,61.0, Self-emp-inc,, HS-grad,9.0, Married-civ-spouse,,,, Male,0.0,0.0,40.0, United-States,
142.0,27.0,,232782.0, Some-college,10.0,, Sales,, White, Female,0.0,0.0,40.0, United-States, <=50K
,19.0, Private,316868.0,,10.0, Never-married,, Own-child, White, Male,,0.0,30.0, Mexico,
144.0,45.0, Private,, Assoc-voc,11.0, Never-married,, Not-in-family, White,,0.0,1564.0,40.0, United-States,
,70.0, Private,105376.0, Some-college,10.0, Never-married, Tech-support,, White,,0.0,,40.0, United-States,
,31.0, Private,, HS-grad,9.0, Never-married,, Unmarried, Black,,0.0,,30.0, United-States, <=50K
,22.0, Private,175374.0,,10.0,,, Husband, White,,0.0,,24.0, United-States, <=50K
,36.0,,108293.0,,9.0,, Other-service,, White,,0.0,0.0,24.0, United-States, <=50K
149.0,64.0,,181232.0, 11th,7.0,, Craft-repair, Husband,,,,2179.0,40.0, United-States, <=50K
150.0,43.0,,174662.0,,10.0, Divorced, ?, Not-in-family, White,,0.0,0.0,40.0, United-States,
151.0,47.0, Local-gov,186009.0, Some-college,10.0, Divorced,, Unmarried, White, Female,0.0,0.0,38.0, Mexico, <=50K
152.0,34.0, Private,198183.0, HS-grad,9.0, Never-married,, Not-in-family, White, Female,,0.0,40.0, United-States,
,33.0, Private,163003.0,,13.0, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0.0,,40.0, Philippines, <=50K
,21.0, Private,296158.0,,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,,35.0, United-States, <=50K
,52.0,,252903.0, HS-grad,9.0,,, Not-in-family,,,0.0,0.0,45.0, United-States,
156.0,48.0,,187715.0,,9.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,46.0, United-States,
,23.0, Private,214542.0,,13.0, Never-married,,, White,,,,40.0, United-States,
158.0,71.0,,494223.0,,10.0, Separated,, Unmarried, Black,,0.0,1816.0,2.0, United-States, <=50K
,29.0, Private,191535.0, HS-grad,9.0, Divorced, Craft-repair,,,,0.0,,60.0, United-States, <=50K
,42.0,,228456.0,,13.0, Separated, Other-service, Other-relative, Black, Male,0.0,,50.0, United-States, <=50K
161.0,, ?,38317.0,,2.0, Divorced, ?,, White, Female,,0.0,20.0, United-States,
162.0,25.0, Private,252752.0, HS-grad,9.0, Never-married,,, White, Female,,0.0,40.0, United-States,
,44.0, Self-emp-inc,78374.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander,,0.0,0.0,40.0, United-States,
164.0,,,, HS-grad,9.0,,, Not-in-family, Asian-Pac-Islander, Female,,,40.0, England, <=50K
165.0,45.0,,201080.0,,14.0, Married-civ-spouse, Sales, Husband, White,,,0.0,40.0, United-States, >50K
,36.0,,207157.0, Some-college,10.0,, Other-service, Unmarried,,,0.0,,40.0, Mexico, <=50K
167.0,39.0, Federal-gov,, Assoc-acdm,, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,42.0, United-States, <=50K
168.0,46.0, State-gov,102628.0, Masters,14.0, Widowed,, Unmarried, White,,,,40.0, United-States, <=50K
,18.0, Private,25828.0,,7.0,, Handlers-cleaners, Own-child, White,,,0.0,16.0, United-States, <=50K
170.0,66.0, Local-gov,54826.0,,11.0, Widowed, Prof-specialty, Not-in-family, White,,0.0,0.0,20.0, United-States, <=50K
171.0,27.0, Private,,,9.0, Never-married,, Not-in-family, White, Male,0.0,,40.0, United-States, <=50K
172.0,28.0, State-gov,, HS-grad,,,, Husband, White, Male,0.0,0.0,40.0, United-States, <=50K
173.0,51.0,,, Some-college,10.0, Married-civ-spouse, Sales, Husband, White,,,,40.0, United-States, >50K
174.0,27.0, Private,428030.0,,13.0,,, Not-in-family, White,,0.0,0.0,50.0, United-States,
175.0,28.0,,149624.0, Bachelors,13.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,40.0, United-States,
,27.0, Private,253814.0, HS-grad,, Married-spouse-absent,, Unmarried, White,,0.0,,25.0, United-States,
177.0,21.0, Private,312956.0,,, Never-married,, Own-child, Black,,,,40.0, United-States,
,34.0,,, HS-grad,9.0, Never-married, Handlers-cleaners,, Black,,0.0,0.0,40.0, United-States,
179.0,18.0, Private,183930.0, HS-grad,9.0, Never-married, Other-service, Own-child, White,,0.0,0.0,12.0, United-States, <=50K
180.0,33.0, Private,37274.0,,13.0, Married-civ-spouse,, Husband, White, Male,0.0,0.0,65.0, United-States, <=50K
,44.0, Local-gov,181344.0, Some-college,10.0,, Exec-managerial, Husband, Black, Male,0.0,0.0,38.0,,
182.0,43.0, Private,114580.0, Some-college,10.0, Divorced,, Not-in-family,, Female,0.0,0.0,40.0, United-States,
183.0,30.0, Private,633742.0, Some-college,10.0, Never-married,, Not-in-family, Black, Male,0.0,0.0,45.0, United-States, <=50K
184.0,40.0,,286370.0, 7th-8th,4.0, Married-civ-spouse,, Husband, White,,0.0,0.0,40.0, Mexico, >50K
185.0,, Federal-gov,29054.0, Some-college,, Married-civ-spouse, Adm-clerical,, White, Male,,,42.0, United-States, >50K
186.0,, Private,304030.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,,0.0,40.0, United-States, <=50K
187.0,41.0,,143129.0, Bachelors,13.0, Divorced,, Not-in-family,,,0.0,,40.0, United-States,
188.0,53.0,,135105.0, Bachelors,13.0, Divorced,, Not-in-family, White, Female,0.0,0.0,50.0, United-States,
189.0,31.0,,99928.0,,14.0,, Prof-specialty, Wife, White,,,0.0,50.0, United-States, <=50K
,58.0,,109567.0, Doctorate,16.0, Married-civ-spouse,, Husband, White, Male,,,1.0, United-States, >50K
191.0,38.0, Private,155222.0, Some-college,10.0,, Machine-op-inspct, Not-in-family, Black, Female,0.0,0.0,28.0, United-States,
192.0,24.0,,159567.0, Some-college,, Married-civ-spouse,, Husband, White,,0.0,0.0,40.0, United-States, <=50K
193.0,,,,,13.0, Married-civ-spouse,, Husband, Black, Male,0.0,,40.0, United-States, <=50K
194.0,47.0, Private,, Some-college,10.0, Married-civ-spouse, Tech-support, Husband, White, Male,0.0,,45.0, United-States, <=50K
195.0,,,130760.0,,13.0, Married-civ-spouse,, Husband, White,,0.0,0.0,24.0, United-States, <=50K
196.0,23.0,,197387.0, 5th-6th,3.0, Married-civ-spouse, Transport-moving, Other-relative, White,,0.0,0.0,40.0, Mexico,
,36.0,,, Some-college,,,, Not-in-family, White, Male,0.0,0.0,40.0, United-States,
198.0,, Federal-gov,, Masters,14.0, Never-married, Exec-managerial, Not-in-family, White, Female,,0.0,55.0, United-States, >50K
199.0,35.0, Private,138992.0, Masters,14.0,,, Other-relative, White, Male,7298.0,0.0,40.0, United-States, >50K
,24.0, Self-emp-not-inc,,,9.0, Never-married, Sales, Not-in-family, White,,0.0,0.0,40.0, United-States, <=50K
201.0,26.0,,397317.0, Masters,14.0,, Prof-specialty, Not-in-family, White, Female,0.0,,40.0, United-States, <=50K
,19.0, ?,170653.0, HS-grad,9.0, Never-married, ?,,,,,,40.0, Italy, <=50K
,51.0,,259323.0, Bachelors,, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,50.0, United-States,
204.0,42.0, Local-gov,,,10.0,,,,, Female,,1340.0,40.0, United-States, <=50K
205.0,37.0,,48211.0,,9.0, Divorced, Adm-clerical, Unmarried, White,,0.0,0.0,35.0, United-States,
206.0,18.0, Private,140164.0,,7.0,,,, White, Female,,,40.0, United-States, <=50K
207.0,36.0, Private,, Bachelors,13.0, Married-civ-spouse,, Husband, Black,,7298.0,,36.0, United-States, >50K
208.0,35.0, Private,36270.0, HS-grad,9.0,,,, White, Male,0.0,0.0,60.0, United-States, <=50K
,, Self-emp-inc,210563.0,,, Married-civ-spouse, Sales, Wife, White, Female,15024.0,0.0,35.0, United-States, >50K
210.0,17.0,,65368.0, 11th,7.0,,, Own-child, White, Female,,0.0,12.0, United-States,
211.0,44.0, Local-gov,160943.0,,9.0, Married-civ-spouse,,, Black,,,,40.0, United-States, <=50K
,37.0, Private,, HS-grad,9.0,,, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
,35.0,,,,10.0, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo,,0.0,0.0,40.0, United-States,
,60.0,,85815.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander,,0.0,0.0,40.0, United-States, <=50K
,54.0,,, 7th-8th,4.0, Married-civ-spouse,, Husband, White, Male,,,40.0, United-States, >50K
216.0,37.0, Private,635913.0,,, Never-married,, Not-in-family, Black, Male,0.0,,60.0, United-States, >50K
217.0,50.0,,313321.0,,12.0,,, Not-in-family, White,,0.0,0.0,40.0, United-States,
218.0,38.0, Private,,,13.0, Married-civ-spouse,, Husband, White, Male,,0.0,50.0, Poland, <=50K
,45.0, Private,, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White,,,0.0,55.0, United-States, <=50K
220.0,25.0, Private,255004.0, 10th,6.0, Never-married, Craft-repair,, White, Male,0.0,0.0,40.0, United-States, <=50K
221.0,, Private,197860.0,,10.0, Married-civ-spouse,, Husband,,,0.0,,40.0, United-States, <=50K
222.0,64.0,,187656.0, 1st-4th,, Divorced, ?, Not-in-family,,,0.0,0.0,40.0, United-States, <=50K
223.0,90.0, Private,51744.0, HS-grad,9.0, Never-married,, Not-in-family, Black, Male,,2206.0,40.0, United-States, <=50K
224.0,54.0, Private,176681.0, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Husband, Black, Male,,,20.0, United-States, <=50K
,53.0, Local-gov,, Preschool,, Never-married,, Not-in-family,,,,,35.0, United-States,
226.0,18.0,,243313.0,,9.0, Never-married,, Own-child, White, Female,0.0,,40.0, United-States, <=50K
,60.0, ?,24215.0, 10th,6.0, Divorced,, Not-in-family, Amer-Indian-Eskimo, Female,0.0,,10.0, United-States, <=50K
228.0,66.0,,167687.0, HS-grad,9.0, Married-civ-spouse,, Husband, White, Male,,0.0,50.0, United-States,
,75.0,,314209.0,,11.0,, Adm-clerical, Not-in-family, White, Female,0.0,,20.0, Columbia,
230.0,65.0, Private,176796.0,,9.0, Divorced,,, White, Female,0.0,0.0,40.0, United-States, <=50K
231.0,35.0,,, 11th,7.0, Separated,, Not-in-family, Black,,3674.0,0.0,40.0, United-States,
,41.0, Private,130408.0, HS-grad,9.0, Divorced, Sales, Unmarried, Black, Female,0.0,,38.0, United-States,
,25.0, Private,159732.0, Some-college,10.0, Never-married, Adm-clerical, Not-in-family, White,,0.0,0.0,42.0, United-States, <=50K
234.0,33.0, Private,110978.0, Some-college,10.0, Divorced,, Other-relative, Other,,0.0,0.0,40.0, United-States, <=50K
235.0,28.0,,76714.0,,15.0, Never-married,, Not-in-family, White,,,,55.0, United-States,
,59.0,,268700.0, HS-grad,9.0,,, Husband, White, Male,,0.0,40.0, United-States,
237.0,40.0,,170525.0, Some-college,10.0,, Adm-clerical,, White,,0.0,,38.0, United-States, <=50K
,41.0, Private,180138.0,,, Married-civ-spouse, Exec-managerial,, White, Male,0.0,,50.0, Iran,
239.0,38.0,,, Masters,, Married-civ-spouse,, Husband, White, Male,,0.0,70.0, United-States, >50K
240.0,23.0, Private,115458.0,,9.0, Never-married, Transport-moving, Own-child, White, Male,0.0,0.0,40.0, United-States,
241.0,40.0, Private,347890.0, Bachelors,13.0, Married-civ-spouse,, Husband, White,,0.0,,40.0, United-States, >50K
,,,196001.0, HS-grad,9.0, Married-civ-spouse, Other-service, Wife, White,,0.0,0.0,20.0, United-States, <=50K
243.0,, State-gov,273905.0, Assoc-acdm,, Married-civ-spouse,, Husband, White,,0.0,0.0,50.0, United-States,
,20.0, ?,119156.0,,10.0, Never-married, ?, Own-child, White, Male,,0.0,20.0, United-States,
