age,race,sex,hours-per-week,native-country
28,White,Female,60,United-States
24,White,Female,40,United-States
38,White,Male,35,United-States
37,White,Male,50,United-States
46,Black,Female,36,United-States
38,White,Male,40,Iran
43,White,Male,60,United-States
27,White,Female,35,United-States
20,White,Male,20,United-States
49,Asian-Pac-Islander,Male,40,United-States
61,White,Male,40,United-States
27,White,Female,40,United-States
19,White,Male,30,Mexico
45,White,Female,40,United-States
70,White,Male,40,United-States
31,Black,Female,30,United-States
22,White,Male,24,United-States
36,White,Female,24,United-States
64,White,Male,40,United-States
43,White,Female,40,United-States
47,White,Female,38,Mexico
34,White,Female,40,United-States
33,Asian-Pac-Islander,Female,40,Philippines
21,White,Male,35,United-States
52,White,Male,45,United-States
48,White,Male,46,United-States
23,White,Male,40,United-States
71,Black,Male,2,United-States
29,White,Male,60,United-States
42,Black,Male,50,United-States
68,White,Female,20,United-States
25,White,Female,40,United-States
44,Asian-Pac-Islander,Female,40,United-States
28,Asian-Pac-Islander,Female,40,England
45,White,Male,40,United-States
36,White,Female,40,Mexico
39,White,Male,42,United-States
46,White,Male,40,United-States
18,White,Male,16,United-States
66,White,Female,20,United-States
27,White,Male,40,United-States
28,White,Male,40,United-States
51,White,Male,40,United-States
27,White,Male,50,United-States
28,White,Male,40,United-States
27,White,Female,25,United-States
21,Black,Male,40,United-States
34,Black,Male,40,United-States
18,White,Male,12,United-States
33,White,Male,65,United-States
44,Black,Male,38,United-States
43,White,Female,40,United-States
30,Black,Male,45,United-States
40,White,Male,40,Mexico
37,White,Male,42,United-States
34,Black,Male,40,United-States
41,White,Female,40,United-States
53,White,Female,50,United-States
31,White,Female,50,United-States
58,White,Male,1,United-States
38,Black,Female,28,United-States
24,White,Male,40,United-States
41,Black,Male,40,United-States
47,White,Male,45,United-States
41,White,Male,24,United-States
23,White,Male,40,Mexico
36,White,Male,40,United-States
40,White,Female,55,United-States
35,White,Male,40,United-States
24,White,Male,40,United-States
26,White,Female,40,United-States
19,White,Male,40,Italy
51,White,Male,50,United-States
42,White,Female,40,United-States
37,White,Female,35,United-States
18,White,Female,40,United-States
36,Black,Male,36,United-States
35,White,Male,60,United-States
58,White,Female,35,United-States
17,White,Female,12,United-States
44,Black,Male,40,United-States
37,White,Male,40,United-States
35,Amer-Indian-Eskimo,Female,40,United-States
60,Asian-Pac-Islander,Male,40,United-States
54,White,Male,40,United-States
37,Black,Male,60,United-States
50,White,Female,40,United-States
38,White,Male,50,Poland
45,White,Male,55,United-States
25,White,Male,40,United-States
31,White,Male,40,United-States
64,White,Male,40,United-States
90,Black,Male,40,United-States
54,Black,Male,20,United-States
53,White,Female,35,United-States
18,White,Female,40,United-States
60,Amer-Indian-Eskimo,Female,10,United-States
66,White,Male,50,United-States
75,White,Female,20,Columbia
65,White,Female,40,United-States
35,Black,Male,40,United-States
41,Black,Female,38,United-States
25,White,Male,42,United-States
33,Other,Female,40,United-States
28,White,Male,55,United-States
59,White,Male,40,United-States
40,White,Female,38,United-States
41,White,Male,50,Iran
38,White,Male,70,United-States
23,White,Male,40,United-States
40,White,Male,40,United-States
41,White,Female,20,United-States
24,White,Male,50,United-States
20,White,Male,20,United-States
38,White,Male,40,United-States
56,White,Male,35,?
58,White,Male,45,United-States
32,White,Female,34,United-States
40,White,Male,60,United-States
45,White,Male,40,?
41,White,Female,40,United-States
42,Black,Female,40,United-States
59,Black,Female,30,United-States
19,White,Male,40,United-States
58,White,Male,20,United-States
42,Asian-Pac-Islander,Male,40,Cambodia
20,White,Female,40,United-States
32,White,Female,30,United-States
45,White,Female,45,United-States
50,White,Male,40,United-States
36,White,Female,40,United-States
45,White,Male,60,United-States
17,White,Male,12,United-States
59,White,Male,40,United-States
26,White,Male,40,United-States
37,Asian-Pac-Islander,Male,75,Thailand
19,White,Male,24,Canada
64,White,Male,40,United-States
33,White,Female,45,United-States
33,White,Female,40,United-States
61,White,Male,40,United-States
17,White,Male,24,United-States
50,White,Male,98,United-States
27,White,Male,35,United-States
30,White,Female,40,United-States
43,Black,Male,40,United-States
44,White,Male,40,United-States
35,White,Female,40,United-States
25,White,Female,40,United-States
24,White,Female,48,United-States
22,White,Female,15,Germany
42,White,Male,40,United-States
34,Black,Female,45,United-States
60,White,Female,42,United-States
21,White,Male,40,United-States
57,White,Male,40,United-States
41,White,Male,60,United-States
50,White,Male,45,United-States
25,White,Female,40,United-States
50,White,Male,40,Ecuador
36,White,Male,45,United-States
31,White,Female,40,United-States
29,White,Male,56,United-States
21,White,Male,45,United-States
27,Black,Female,40,United-States
65,White,Male,16,United-States
37,White,Female,60,United-States
39,Asian-Pac-Islander,Female,40,?
24,White,Male,40,United-States
38,White,Male,80,United-States
48,White,Male,40,United-States
21,Asian-Pac-Islander,Female,25,United-States
31,White,Male,45,United-States
55,White,Male,40,United-States
24,Asian-Pac-Islander,Female,40,Laos
43,White,Female,40,United-States
26,White,Male,45,United-States
46,White,Female,33,United-States
35,White,Male,40,United-States
41,White,Male,54,United-States
26,White,Male,40,United-States
34,Asian-Pac-Islander,Male,35,Taiwan
19,Black,Female,25,United-States
36,Black,Female,40,United-States
22,White,Male,15,United-States
24,White,Male,40,United-States
77,White,Male,40,United-States
22,White,Female,40,Mexico
29,White,Female,40,United-States
62,White,Female,24,United-States
39,White,Male,40,United-States
43,White,Male,50,United-States
35,White,Male,45,United-States
29,White,Female,40,United-States
76,White,Male,10,United-States
63,White,Male,45,United-States
23,Black,Female,15,United-States
43,White,Female,50,United-States
58,White,Male,40,United-States
66,White,Male,55,United-States
41,Black,Male,45,United-States
26,White,Male,40,United-States
47,White,Male,40,United-States
55,White,Male,40,United-States
53,White,Male,40,United-States
17,White,Male,48,Mexico
30,White,Male,40,United-States
49,White,Male,60,United-States
19,Black,Male,30,Haiti
45,Black,Male,40,United-States
26,White,Male,40,United-States
38,White,Male,40,United-States
36,White,Male,40,United-States
33,White,Male,20,United-States
22,Black,Female,40,United-States
43,White,Male,42,United-States
67,White,Male,8,United-States
30,White,Female,40,United-States
56,White,Male,25,Iran
31,White,Male,25,United-States
33,White,Male,40,United-States
26,White,Male,40,United-States
33,White,Male,40,United-States
46,White,Male,30,United-States
59,White,Male,40,United-States
38,White,Male,40,United-States
65,Other,Male,40,United-States
40,White,Male,40,United-States
42,White,Female,35,United-States
26,White,Male,40,Portugal
36,White,Female,24,United-States
62,White,Male,40,United-States
43,White,Male,45,United-States
43,White,Male,45,United-States
22,White,Male,55,United-States
28,White,Male,40,United-States
56,White,Male,45,United-States
22,White,Female,15,United-States
57,White,Female,45,United-States
39,White,Female,40,United-States
26,White,Female,15,United-States
17,White,Male,10,United-States
40,White,Male,38,United-States
45,Black,Male,40,United-States
44,Black,Male,40,United-States
20,White,Female,10,United-States
33,White,Female,40,United-States
23,White,Male,40,United-States
46,White,Male,30,United-States
38,White,Male,50,United-States
54,White,Male,40,United-States
46,White,Female,45,United-States
25,White,Male,40,United-States
46,White,Female,40,United-States
36,White,Female,40,United-States
23,White,Female,25,United-States
29,White,Male,40,United-States
44,White,Female,6,United-States
19,White,Female,16,United-States
19,White,Female,40,United-States
35,White,Female,40,United-States
27,White,Male,50,United-States
46,White,Male,40,United-States
34,White,Male,45,?
34,White,Female,35,United-States
44,White,Male,40,United-States
45,White,Female,40,United-States
20,White,Female,35,United-States
25,White,Male,55,United-States
52,White,Male,50,United-States
20,White,Male,40,United-States
28,White,Female,40,United-States
50,White,Male,40,United-States
34,White,Female,64,United-States
28,Other,Male,40,Puerto-Rico
41,White,Male,65,United-States
28,White,Male,40,United-States
46,White,Male,25,United-States
28,White,Female,40,United-States
32,White,Male,50,United-States
41,Black,Female,24,United-States
24,Black,Female,40,United-States
33,White,Female,40,United-States
46,White,Male,60,United-States
31,White,Male,40,United-States
35,White,Male,50,United-States
52,White,Male,40,Mexico
30,White,Female,19,United-States
34,Black,Male,40,United-States
34,White,Female,40,United-States
20,White,Male,30,United-States
17,White,Male,18,United-States
32,White,Female,40,United-States
29,White,Male,40,United-States
33,White,Female,35,United-States
25,White,Male,60,United-States
36,White,Male,40,United-States
23,White,Male,72,Dominican-Republic
63,White,Male,40,United-States
47,White,Male,40,United-States
80,White,Male,24,United-States
17,White,Male,40,United-States
40,White,Female,40,United-States
30,White,Female,25,United-States
27,Asian-Pac-Islander,Male,40,Philippines
33,White,Male,50,United-States
34,Black,Male,60,United-States
34,White,Female,40,United-States
23,White,Male,40,United-States
42,White,Female,40,United-States
29,White,Male,40,United-States
45,White,Female,28,United-States
24,White,Male,40,United-States
44,White,Male,40,United-States
27,White,Male,40,Mexico
20,White,Male,35,United-States
44,Black,Female,40,United-States
51,Amer-Indian-Eskimo,Male,40,United-States
20,White,Male,40,United-States
17,White,Female,5,United-States
19,Black,Female,40,United-States
45,White,Male,55,United-States
60,White,Male,40,United-States
42,Black,Male,40,?
44,White,Female,40,United-States
40,Asian-Pac-Islander,Male,40,United-States
30,White,Female,40,United-States
38,Black,Male,50,United-States
23,White,Male,60,United-States
32,White,Male,40,United-States
44,White,Male,40,United-States
54,Black,Male,40,United-States
32,White,Male,50,United-States
50,White,Male,40,United-States
24,White,Female,20,United-States
37,White,Female,60,United-States
52,White,Male,40,United-States
38,White,Male,40,United-States
49,White,Male,45,United-States
30,White,Female,16,United-States
60,White,Male,40,United-States
22,White,Male,40,United-States
35,White,Male,40,United-States
30,White,Male,60,United-States
67,White,Female,24,United-States
46,White,Female,40,United-States
17,White,Male,6,United-States
22,White,Male,30,United-States
27,White,Male,40,United-States
23,White,Female,35,United-States
33,White,Male,45,Portugal
43,White,Male,20,United-States
28,White,Male,20,United-States
41,White,Female,40,United-States
52,Black,Male,40,United-States
25,Black,Female,20,United-States
63,White,Male,35,United-States
59,White,Male,45,United-States
45,White,Female,40,United-States
38,White,Male,60,United-States
40,White,Female,35,United-States
46,White,Male,40,United-States
35,White,Female,60,United-States
34,White,Female,25,United-States
33,White,Male,20,United-States
41,White,Female,36,United-States
20,White,Male,40,United-States
23,White,Male,40,El-Salvador
26,White,Female,35,United-States
72,White,Male,20,United-States
23,White,Male,40,Poland
62,White,Male,40,United-States
52,White,Male,40,United-States
58,White,Female,42,France
25,White,Female,40,United-States
24,Black,Male,40,United-States
19,White,Male,8,United-States
43,White,Male,40,United-States
47,Black,Female,40,United-States
39,White,Female,40,United-States
49,White,Male,42,United-States
53,Black,Female,30,United-States
32,White,Male,45,United-States
34,White,Male,50,United-States
28,White,Male,45,United-States
57,White,Female,38,United-States
25,Amer-Indian-Eskimo,Female,20,United-States
20,White,Male,24,United-States
21,White,Female,35,United-States
34,White,Male,50,United-States
38,White,Male,80,United-States
50,White,Male,50,United-States
24,Black,Male,50,United-States
37,White,Male,45,United-States
44,White,Male,58,United-States
28,White,Female,40,United-States
42,White,Male,40,United-States
74,White,Female,9,United-States
38,White,Male,50,United-States
44,White,Male,40,United-States
44,Other,Female,46,Puerto-Rico
26,White,Male,40,United-States
36,Black,Male,40,United-States
41,White,Female,50,United-States
67,White,Male,48,United-States
39,White,Male,50,United-States
57,Black,Female,30,United-States
29,White,Male,40,United-States
31,White,Female,45,United-States
34,Black,Female,40,United-States
44,White,Male,40,United-States
29,White,Male,40,United-States
30,White,Female,40,United-States
27,White,Male,40,United-States
27,White,Male,50,United-States
32,White,Female,45,United-States
58,White,Female,8,United-States
35,White,Male,40,United-States
21,White,Male,36,United-States
28,White,Male,40,United-States
46,White,Male,50,United-States
36,White,Female,40,United-States
72,White,Female,40,United-States
35,Black,Female,40,United-States
33,Black,Female,40,United-States
69,White,Female,40,United-States
35,White,Male,40,United-States
31,White,Female,20,?
34,White,Female,32,United-States
30,White,Male,40,Mexico
28,White,Male,55,United-States
54,White,Male,35,United-States
47,White,Male,50,United-States
24,Black,Female,40,United-States
52,White,Male,60,United-States
20,Amer-Indian-Eskimo,Male,48,United-States
43,White,Male,45,United-States
45,White,Female,40,Mexico
29,White,Male,35,United-States
47,White,Male,42,United-States
24,White,Male,40,United-States
51,White,Male,40,United-States
17,White,Male,12,United-States
37,White,Male,40,United-States
27,White,Female,70,United-States
29,White,Male,40,United-States
18,White,Male,25,United-States
36,White,Female,35,United-States
58,White,Female,40,United-States
26,White,Male,45,United-States
65,White,Male,30,United-States
57,White,Male,40,United-States
59,White,Male,40,United-States
27,White,Male,40,United-States
31,White,Male,40,United-States
21,White,Female,24,United-States
29,White,Male,60,United-States
18,White,Male,40,United-States
52,White,Male,47,United-States
57,White,Male,80,United-States
42,White,Male,40,United-States
55,Asian-Pac-Islander,Female,40,United-States
60,White,Male,48,United-States
31,White,Male,40,Canada
23,White,Female,40,United-States
27,White,Male,40,United-States
23,Amer-Indian-Eskimo,Female,25,United-States
42,White,Male,50,United-States
25,White,Male,40,United-States
49,White,Female,45,United-States
32,White,Male,40,United-States
19,White,Male,28,United-States
60,White,Female,40,United-States
42,White,Male,40,United-States
35,White,Male,40,United-States
48,Black,Female,37,United-States
51,White,Male,40,United-States
29,Amer-Indian-Eskimo,Male,40,United-States
36,Black,Male,40,United-States
17,White,Female,21,United-States
52,White,Female,60,United-States
24,White,Male,40,United-States
24,White,Male,50,United-States
26,White,Male,40,United-States
27,White,Female,20,United-States
39,White,Male,60,United-States
30,Black,Male,45,United-States
50,White,Male,32,United-States
52,White,Male,55,United-States
46,White,Male,45,United-States
23,White,Female,20,United-States
45,Black,Female,20,United-States
65,Black,Female,24,United-States
29,White,Male,55,United-States
47,White,Male,40,El-Salvador
30,Black,Male,60,United-States
34,White,Male,45,United-States
38,White,Male,64,United-States
33,White,Male,40,United-States
49,White,Male,26,United-States
47,Black,Female,40,United-States
49,Black,Female,40,United-States
43,White,Male,60,United-States
30,Black,Female,40,United-States
58,White,Male,60,United-States
19,White,Female,14,United-States
21,White,Male,40,United-States
33,White,Male,60,United-States
47,White,Male,50,Cuba
52,White,Male,60,United-States
26,White,Male,55,United-States
60,White,Male,40,United-States
21,White,Male,40,United-States
36,White,Male,50,United-States
31,White,Male,45,United-States
50,White,Male,40,United-States
31,White,Female,40,United-States
71,White,Male,15,United-States
58,White,Male,50,United-States
30,White,Male,40,United-States
20,White,Male,20,United-States
24,White,Male,50,United-States
35,Asian-Pac-Islander,Male,40,Taiwan
38,White,Female,45,United-States
27,White,Female,32,United-States
29,Asian-Pac-Islander,Female,40,Philippines
70,White,Female,15,United-States
34,White,Male,45,United-States
44,White,Male,35,United-States
43,White,Male,40,United-States
44,Black,Male,40,United-States
35,White,Male,60,United-States
27,White,Male,40,United-States
43,White,Male,38,United-States
20,White,Female,25,United-States
42,White,Female,40,United-States
27,White,Male,40,United-States
42,Black,Male,40,United-States
20,Asian-Pac-Islander,Female,40,South
24,White,Male,40,United-States
48,White,Male,40,United-States
17,White,Female,20,United-States
17,White,Male,10,United-States
33,White,Male,40,United-States
50,White,Male,50,United-States
22,White,Female,40,United-States
17,White,Male,16,United-States
32,White,Male,40,Mexico
31,White,Male,45,United-States
58,White,Male,50,United-States
29,White,Male,48,United-States
37,White,Male,40,Portugal
34,White,Male,40,United-States
23,Black,Male,40,United-States
18,White,Female,5,United-States
34,White,Female,40,United-States
66,White,Male,4,United-States
45,White,Female,55,United-States
41,White,Male,35,Dominican-Republic
26,White,Male,30,United-States
54,White,Male,40,United-States
24,Black,Female,45,United-States
42,White,Male,50,United-States
20,White,Male,20,United-States
23,White,Female,20,United-States
25,White,Male,45,United-States
35,White,Male,60,United-States
31,White,Male,40,United-States
30,White,Female,40,Poland
19,White,Female,20,United-States
36,White,Male,50,United-States
31,White,Female,40,Cuba
21,White,Male,30,United-States
31,White,Male,40,United-States
46,White,Female,65,United-States
44,White,Female,50,United-States
40,Black,Male,40,Jamaica
45,Black,Male,40,United-States
60,White,Male,35,United-States
18,White,Male,25,United-States
28,White,Male,40,United-States
36,Black,Female,40,United-States
36,White,Male,40,?
40,White,Male,40,United-States
36,White,Female,35,Honduras
31,Black,Female,40,United-States
33,White,Male,40,United-States
19,White,Female,40,United-States
22,White,Female,15,United-States
34,White,Male,45,United-States
33,White,Male,40,United-States
41,White,Male,60,United-States
29,White,Male,40,United-States
50,White,Male,42,United-States
42,White,Male,45,United-States
43,White,Male,40,?
44,White,Female,40,United-States
20,White,Female,20,United-States
31,White,Male,40,Mexico
65,White,Male,59,?
23,White,Female,24,United-States
55,Asian-Pac-Islander,Female,40,United-States
26,White,Male,45,United-States
25,White,Female,15,United-States
45,Black,Female,40,United-States
35,White,Male,40,United-States
36,Black,Female,36,United-States
43,White,Male,50,United-States
56,Black,Female,20,United-States
42,White,Male,40,United-States
19,White,Female,25,United-States
55,White,Male,72,United-States
42,White,Female,50,United-States
26,White,Male,40,United-States
17,White,Male,20,United-States
42,White,Female,40,United-States
55,White,Male,40,United-States
32,Black,Female,40,United-States
29,Black,Male,40,Haiti
46,White,Male,37,United-States
29,White,Male,40,United-States
22,White,Male,20,United-States
58,White,Male,40,United-States
23,White,Male,50,United-States
39,White,Male,40,United-States
27,White,Male,38,United-States
54,White,Male,40,United-States
33,White,Female,45,United-States
46,White,Female,40,United-States
37,Black,Male,40,United-States
36,White,Female,18,United-States
59,White,Female,38,United-States
34,White,Male,40,Portugal
53,White,Male,70,United-States
51,White,Male,55,United-States
32,White,Female,42,United-States
31,White,Male,40,United-States
22,White,Female,30,Germany
47,White,Female,50,United-States
32,White,Male,40,United-States
26,White,Female,38,United-States
37,White,Male,32,Guatemala
31,White,Male,55,United-States
37,White,Female,24,United-States
55,White,Male,38,United-States
23,White,Male,56,United-States
36,White,Female,40,United-States
34,White,Male,40,?
43,White,Male,50,United-States
54,White,Male,40,United-States
43,White,Male,40,?
28,White,Female,42,United-States
40,White,Male,50,United-States
41,White,Male,60,United-States
40,Other,Female,55,United-States
42,Black,Female,38,United-States
61,White,Male,50,United-States
18,White,Male,30,United-States
59,White,Male,16,United-States
21,White,Female,40,United-States
48,White,Male,50,United-States
41,White,Male,40,United-States
18,White,Male,33,United-States
23,White,Female,40,United-States
60,White,Male,60,United-States
22,Black,Male,20,United-States
61,White,Male,40,United-States
25,Black,Male,40,United-States
46,White,Male,35,United-States
43,White,Male,40,England
43,White,Male,40,United-States
24,Black,Male,30,United-States
68,White,Male,20,United-States
31,White,Female,38,United-States
17,White,Female,20,United-States
32,White,Male,48,United-States
50,White,Male,40,United-States
33,White,Male,47,United-States
64,White,Male,40,United-States
20,White,Male,30,United-States
30,White,Female,36,United-States
22,Black,Male,40,United-States
43,White,Male,45,United-States
22,White,Male,40,United-States
17,White,Male,20,United-States
47,White,Female,75,Italy
41,White,Female,60,United-States
56,White,Male,50,United-States
64,White,Male,45,United-States
47,White,Male,50,United-States
48,White,Male,40,United-States
31,White,Female,46,United-States
29,White,Male,40,United-States
30,White,Female,40,United-States
32,White,Male,60,United-States
57,White,Male,42,United-States
62,White,Female,40,United-States
39,White,Female,24,United-States
43,White,Male,25,United-States
24,White,Male,40,United-States
42,White,Male,15,United-States
53,White,Female,40,United-States
26,White,Male,40,United-States
73,White,Male,40,United-States
72,White,Female,24,United-States
55,White,Male,40,United-States
25,White,Male,40,United-States
41,White,Female,50,United-States
24,White,Male,50,United-States
63,White,Male,6,United-States
17,White,Male,20,United-States
35,White,Male,50,United-States
51,White,Male,40,United-States
62,White,Female,48,United-States
55,White,Male,40,United-States
43,White,Male,40,United-States
40,White,Female,50,United-States
37,White,Male,45,United-States
39,White,Male,40,United-States
31,White,Male,18,United-States
61,White,Female,40,United-States
26,White,Female,55,United-States
46,White,Male,50,United-States
26,White,Female,40,United-States
48,White,Male,50,United-States
34,White,Male,40,United-States
34,White,Female,40,United-States
59,White,Male,40,United-States
34,White,Female,40,United-States
49,White,Female,56,United-States
18,White,Female,20,United-States
43,White,Male,40,Mexico
48,White,Male,50,United-States
28,White,Male,70,United-States
33,White,Male,40,United-States
24,White,Female,15,United-States
21,White,Male,40,United-States
17,White,Male,28,United-States
39,White,Male,50,United-States
29,White,Male,40,United-States
44,White,Male,40,United-States
24,White,Male,50,United-States
71,White,Male,40,United-States
51,Asian-Pac-Islander,Male,40,China
55,Black,Male,25,United-States
41,White,Male,60,United-States
23,Black,Female,7,United-States
38,White,Female,40,United-States
39,White,Male,40,United-States
19,White,Female,30,United-States
49,White,Female,40,United-States
32,White,Male,40,Philippines
27,White,Male,70,United-States
38,White,Male,50,United-States
33,White,Female,60,United-States
63,White,Male,15,United-States
23,White,Male,28,United-States
33,White,Male,60,?
54,Black,Male,40,United-States
29,White,Female,45,United-States
48,Black,Female,30,United-States
35,White,Male,40,United-States
28,Asian-Pac-Islander,Female,40,India
37,White,Male,50,United-States
42,White,Male,65,United-States
40,White,Male,40,United-States
47,White,Male,55,United-States
22,White,Female,50,United-States
30,White,Male,45,United-States
28,White,Male,40,United-States
63,White,Male,55,United-States
51,White,Male,20,United-States
22,White,Female,40,United-States
27,Amer-Indian-Eskimo,Male,40,United-States
35,White,Male,45,United-States
46,White,Female,38,United-States
37,White,Male,52,United-States
24,Black,Male,15,United-States
37,White,Male,10,United-States
53,White,Male,40,United-States
27,White,Male,30,United-States
38,White,Male,44,United-States
53,White,Male,60,United-States
34,White,Male,40,United-States
23,Black,Male,40,United-States
39,White,Male,45,United-States
43,Asian-Pac-Islander,Female,50,South
67,Asian-Pac-Islander,Male,40,United-States
81,White,Male,30,United-States
21,White,Male,20,United-States
23,White,Male,25,United-States
25,White,Male,40,United-States
42,White,Female,38,Mexico
38,Black,Female,40,United-States
64,White,Male,5,United-States
32,White,Male,40,United-States
37,White,Male,40,United-States
51,White,Male,60,United-States
22,White,Female,42,United-States
33,White,Female,40,Guatemala
42,White,Male,55,United-States
19,White,Female,10,United-States
51,White,Male,40,United-States
23,White,Female,40,Mexico
37,White,Male,44,United-States
37,White,Male,99,United-States
47,White,Female,25,United-States
41,White,Male,40,United-States
33,White,Male,30,United-States
31,White,Male,40,United-States
31,Amer-Indian-Eskimo,Female,40,United-States
35,Black,Male,40,United-States
38,White,Male,40,United-States
18,White,Female,45,United-States
20,White,Male,40,United-States
54,Black,Female,35,United-States
40,White,Female,40,United-States
36,White,Female,45,United-States
43,White,Male,35,United-States
44,White,Male,40,United-States
44,White,Female,40,United-States
43,White,Male,43,United-States
51,Black,Female,40,United-States
18,White,Female,20,United-States
51,White,Male,40,United-States
41,White,Male,30,?
44,White,Male,70,United-States
33,White,Male,40,United-States
33,White,Male,40,United-States
42,White,Male,40,United-States
25,White,Male,45,United-States
32,White,Female,38,United-States
32,White,Male,70,Mexico
36,White,Female,40,United-States
28,White,Male,40,United-States
20,White,Female,20,United-States
35,White,Male,60,United-States
55,White,Male,20,United-States
48,Asian-Pac-Islander,Male,40,India
36,White,Female,20,United-States
34,White,Male,35,United-States
28,White,Female,35,United-States
67,White,Male,40,United-States
37,White,Male,40,United-States
44,White,Male,70,United-States
25,White,Female,40,United-States
21,White,Female,40,United-States
40,White,Male,35,United-States
78,Black,Female,40,United-States
34,White,Male,40,United-States
49,White,Female,44,United-States
22,White,Female,40,United-States
23,Black,Female,40,United-States
60,White,Male,42,United-States
45,White,Male,40,United-States
63,White,Female,20,United-States
41,Black,Female,35,United-States
47,White,Female,40,United-States
44,White,Male,40,United-States
51,White,Female,40,United-States
46,White,Male,40,United-States
41,White,Male,40,United-States
50,White,Male,30,United-States
47,White,Male,50,United-States
35,White,Male,45,United-States
56,White,Male,55,United-States
45,White,Male,45,United-States
48,White,Male,58,United-States
40,White,Male,40,United-States
39,White,Male,50,United-States
20,White,Male,40,United-States
50,White,Male,65,United-States
38,White,Female,40,United-States
23,White,Female,60,United-States
31,White,Male,16,United-States
58,White,Male,40,United-States
66,Black,Male,40,United-States
39,White,Male,40,United-States
54,White,Male,52,United-States
26,White,Male,50,Germany
51,White,Female,40,United-States
34,White,Male,40,United-States
50,White,Male,40,United-States
42,White,Male,44,United-States
38,White,Male,25,United-States
48,White,Male,40,United-States
33,White,Female,40,United-States
51,White,Female,32,United-States
22,White,Male,40,United-States
19,White,Male,30,United-States
41,White,Male,50,Japan
48,White,Male,35,United-States
42,White,Female,30,United-States
34,White,Male,40,United-States
23,Black,Female,40,United-States
56,White,Male,50,Yugoslavia
30,Black,Male,45,?
45,White,Male,55,United-States
48,White,Female,40,United-States
48,Asian-Pac-Islander,Male,50,India
31,White,Female,40,United-States
