age,education,sex,relationship,marital-status,income
57,Bachelors,Male,Husband,Married-civ-spouse,>50K
53,HS-grad,Male,Husband,Married-civ-spouse,<=50K
44,Masters,Female,Unmarried,Divorced,<=50K
41,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
29,Assoc-voc,Male,Not-in-family,Never-married,<=50K
25,Some-college,Female,Wife,Married-civ-spouse,<=50K
18,HS-grad,Female,Own-child,Never-married,<=50K
47,Prof-school,Female,Wife,Married-civ-spouse,>50K
50,Bachelors,Male,Not-in-family,Divorced,>50K
47,HS-grad,Male,Not-in-family,Divorced,<=50K
43,Some-college,Male,Husband,Married-civ-spouse,>50K
46,5th-6th,Male,Husband,Married-civ-spouse,<=50K
35,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
41,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30,HS-grad,Male,Husband,Married-civ-spouse,<=50K
30,Bachelors,Male,Husband,Married-civ-spouse,<=50K
32,7th-8th,Male,Not-in-family,Married-spouse-absent,<=50K
48,HS-grad,Male,Husband,Married-civ-spouse,<=50K
42,Doctorate,Male,Husband,Married-civ-spouse,>50K
29,Some-college,Male,Not-in-family,Divorced,<=50K
36,HS-grad,Male,Husband,Married-civ-spouse,<=50K
28,Some-college,Female,Not-in-family,Divorced,<=50K
53,HS-grad,Female,Wife,Married-civ-spouse,>50K
49,Some-college,Male,Husband,Married-civ-spouse,>50K
25,Some-college,Male,Own-child,Never-married,<=50K
19,Some-college,Male,Own-child,Never-married,<=50K
31,Bachelors,Female,Own-child,Separated,<=50K
29,Bachelors,Male,Husband,Married-civ-spouse,>50K
23,Some-college,Male,Not-in-family,Never-married,<=50K
79,Some-college,Male,Other-relative,Married-civ-spouse,<=50K
27,HS-grad,Male,Own-child,Never-married,<=50K
40,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
67,10th,Male,Husband,Married-civ-spouse,<=50K
18,11th,Female,Own-child,Never-married,<=50K
31,7th-8th,Male,Husband,Married-civ-spouse,<=50K
18,HS-grad,Male,Not-in-family,Never-married,<=50K
52,Bachelors,Male,Husband,Married-civ-spouse,<=50K
46,HS-grad,Female,Wife,Married-civ-spouse,<=50K
59,HS-grad,Male,Husband,Married-civ-spouse,<=50K
44,HS-grad,Female,Not-in-family,Divorced,>50K
53,HS-grad,Female,Own-child,Divorced,<=50K
49,HS-grad,Male,Husband,Married-civ-spouse,>50K
33,Masters,Male,Husband,Married-civ-spouse,<=50K
30,9th,Male,Not-in-family,Never-married,<=50K
43,Doctorate,Female,Not-in-family,Never-married,>50K
57,Assoc-voc,Male,Husband,Married-civ-spouse,<=50K
37,Some-college,Female,Unmarried,Divorced,<=50K
28,Some-college,Female,Unmarried,Divorced,<=50K
30,HS-grad,Female,Wife,Married-civ-spouse,<=50K
34,Bachelors,Male,Husband,Married-civ-spouse,>50K
29,Some-college,Male,Not-in-family,Never-married,<=50K
48,Doctorate,Male,Husband,Married-civ-spouse,>50K
37,Some-college,Male,Husband,Married-civ-spouse,>50K
48,Assoc-acdm,Female,Unmarried,Divorced,<=50K
32,HS-grad,Male,Own-child,Never-married,<=50K
76,Masters,Male,Husband,Married-civ-spouse,>50K
44,Bachelors,Male,Husband,Married-civ-spouse,>50K
47,Masters,Female,Not-in-family,Never-married,<=50K
20,Some-college,Female,Own-child,Never-married,<=50K
29,HS-grad,Male,Not-in-family,Never-married,<=50K
32,HS-grad,Male,Husband,Married-civ-spouse,>50K
17,10th,Female,Own-child,Never-married,<=50K
30,11th,Male,Own-child,Never-married,<=50K
31,HS-grad,Female,Not-in-family,Never-married,<=50K
42,HS-grad,Male,Husband,Married-civ-spouse,<=50K
24,Bachelors,Male,Other-relative,Never-married,<=50K
38,Prof-school,Male,Husband,Married-civ-spouse,>50K
56,HS-grad,Male,Husband,Married-civ-spouse,>50K
28,Some-college,Female,Wife,Married-civ-spouse,<=50K
36,HS-grad,Female,Own-child,Never-married,<=50K
53,9th,Male,Husband,Married-civ-spouse,<=50K
56,Some-college,Male,Husband,Married-civ-spouse,<=50K
49,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
55,Some-college,Male,Husband,Married-civ-spouse,<=50K
22,HS-grad,Male,Not-in-family,Never-married,<=50K
21,Some-college,Female,Own-child,Never-married,<=50K
40,Bachelors,Male,Husband,Married-civ-spouse,<=50K
30,Bachelors,Male,Own-child,Never-married,<=50K
29,Bachelors,Male,Husband,Married-civ-spouse,>50K
19,Some-college,Male,Own-child,Never-married,<=50K
47,Bachelors,Female,Wife,Married-civ-spouse,>50K
20,Some-college,Female,Own-child,Never-married,<=50K
31,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
35,HS-grad,Male,Husband,Married-civ-spouse,<=50K
39,Some-college,Male,Not-in-family,Divorced,<=50K
28,Assoc-acdm,Female,Not-in-family,Never-married,<=50K
24,HS-grad,Female,Not-in-family,Never-married,<=50K
38,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37,Bachelors,Male,Husband,Married-civ-spouse,<=50K
46,Assoc-acdm,Female,Not-in-family,Divorced,<=50K
38,Masters,Male,Husband,Married-civ-spouse,>50K
43,HS-grad,Male,Husband,Married-civ-spouse,<=50K
27,Assoc-voc,Female,Wife,Married-civ-spouse,<=50K
20,Some-college,Male,Own-child,Never-married,<=50K
49,Some-college,Male,Husband,Married-civ-spouse,>50K
61,HS-grad,Male,Husband,Married-civ-spouse,<=50K
27,Some-college,Female,Own-child,Never-married,<=50K
19,Some-college,Male,Own-child,Never-married,<=50K
45,Assoc-voc,Female,Not-in-family,Never-married,>50K
70,Some-college,Male,Other-relative,Never-married,<=50K
31,HS-grad,Female,Unmarried,Never-married,<=50K
22,Some-college,Male,Husband,Married-civ-spouse,<=50K
36,HS-grad,Female,Unmarried,Widowed,<=50K
64,11th,Male,Husband,Married-civ-spouse,<=50K
43,Some-college,Female,Not-in-family,Divorced,<=50K
47,Some-college,Female,Unmarried,Divorced,<=50K
34,HS-grad,Female,Not-in-family,Never-married,<=50K
33,Bachelors,Female,Other-relative,Never-married,<=50K
21,HS-grad,Male,Own-child,Never-married,<=50K
52,HS-grad,Male,Not-in-family,Divorced,>50K
48,HS-grad,Male,Husband,Married-civ-spouse,<=50K
23,Bachelors,Male,Not-in-family,Never-married,<=50K
71,Some-college,Male,Unmarried,Separated,<=50K
29,HS-grad,Male,Not-in-family,Divorced,<=50K
42,Bachelors,Male,Other-relative,Separated,<=50K
68,1st-4th,Female,Not-in-family,Divorced,<=50K
25,HS-grad,Female,Unmarried,Never-married,<=50K
44,Masters,Female,Unmarried,Divorced,<=50K
28,HS-grad,Female,Not-in-family,Never-married,<=50K
45,Masters,Male,Husband,Married-civ-spouse,>50K
36,Some-college,Female,Unmarried,Divorced,<=50K
39,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
46,Masters,Male,Unmarried,Widowed,<=50K
18,11th,Male,Own-child,Never-married,<=50K
66,Assoc-voc,Female,Not-in-family,Widowed,<=50K
27,HS-grad,Male,Not-in-family,Never-married,<=50K
28,HS-grad,Male,Husband,Married-civ-spouse,<=50K
51,Some-college,Male,Husband,Married-civ-spouse,>50K
27,Bachelors,Male,Not-in-family,Never-married,<=50K
28,Bachelors,Male,Husband,Married-civ-spouse,>50K
27,HS-grad,Female,Unmarried,Married-spouse-absent,<=50K
21,HS-grad,Male,Own-child,Never-married,<=50K
34,HS-grad,Male,Not-in-family,Never-married,<=50K
18,HS-grad,Male,Own-child,Never-married,<=50K
33,Bachelors,Male,Husband,Married-civ-spouse,<=50K
44,Some-college,Male,Husband,Married-civ-spouse,>50K
43,Some-college,Female,Not-in-family,Divorced,<=50K
30,Some-college,Male,Not-in-family,Never-married,<=50K
40,7th-8th,Male,Husband,Married-civ-spouse,>50K
37,Some-college,Male,Husband,Married-civ-spouse,>50K
34,HS-grad,Male,Husband,Married-civ-spouse,<=50K
41,Bachelors,Female,Not-in-family,Divorced,<=50K
53,Bachelors,Female,Not-in-family,Divorced,<=50K
31,Masters,Female,Wife,Married-civ-spouse,<=50K
58,Doctorate,Male,Husband,Married-civ-spouse,>50K
38,Some-college,Female,Not-in-family,Divorced,<=50K
24,Some-college,Male,Husband,Married-civ-spouse,<=50K
41,Bachelors,Male,Husband,Married-civ-spouse,<=50K
47,Some-college,Male,Husband,Married-civ-spouse,<=50K
41,Bachelors,Male,Husband,Married-civ-spouse,<=50K
23,5th-6th,Male,Other-relative,Married-civ-spouse,<=50K
36,Some-college,Male,Not-in-family,Divorced,<=50K
40,Masters,Female,Not-in-family,Never-married,>50K
35,Masters,Male,Other-relative,Married-civ-spouse,>50K
24,HS-grad,Male,Not-in-family,Never-married,<=50K
26,Masters,Female,Not-in-family,Never-married,<=50K
19,HS-grad,Male,Own-child,Never-married,<=50K
51,Bachelors,Male,Husband,Married-civ-spouse,>50K
42,Some-college,Female,Not-in-family,Never-married,<=50K
37,HS-grad,Female,Unmarried,Divorced,<=50K
18,11th,Female,Own-child,Never-married,<=50K
36,Bachelors,Male,Husband,Married-civ-spouse,>50K
35,HS-grad,Male,Not-in-family,Divorced,<=50K
58,HS-grad,Female,Wife,Married-civ-spouse,>50K
17,11th,Female,Own-child,Never-married,<=50K
44,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37,HS-grad,Male,Husband,Married-civ-spouse,>50K
35,Some-college,Female,Not-in-family,Never-married,<=50K
60,HS-grad,Male,Husband,Married-civ-spouse,<=50K
54,7th-8th,Male,Husband,Married-civ-spouse,>50K
37,Bachelors,Male,Not-in-family,Never-married,>50K
50,Assoc-acdm,Female,Not-in-family,Divorced,<=50K
38,Bachelors,Male,Husband,Married-civ-spouse,<=50K
45,Bachelors,Male,Husband,Married-civ-spouse,<=50K
25,10th,Male,Not-in-family,Never-married,<=50K
31,Some-college,Male,Husband,Married-civ-spouse,<=50K
64,1st-4th,Male,Not-in-family,Divorced,<=50K
90,HS-grad,Male,Not-in-family,Never-married,<=50K
54,HS-grad,Male,Husband,Married-civ-spouse,<=50K
53,Preschool,Female,Not-in-family,Never-married,<=50K
18,HS-grad,Female,Own-child,Never-married,<=50K
60,10th,Female,Not-in-family,Divorced,<=50K
66,HS-grad,Male,Husband,Married-civ-spouse,<=50K
75,Assoc-voc,Female,Not-in-family,Widowed,<=50K
65,HS-grad,Female,Not-in-family,Divorced,<=50K
35,11th,Male,Not-in-family,Separated,<=50K
41,HS-grad,Female,Unmarried,Divorced,<=50K
25,Some-college,Male,Not-in-family,Never-married,<=50K
33,Some-college,Female,Other-relative,Divorced,<=50K
28,Prof-school,Male,Not-in-family,Never-married,>50K
59,HS-grad,Male,Husband,Married-civ-spouse,<=50K
40,Some-college,Female,Not-in-family,Never-married,<=50K
41,Bachelors,Male,Husband,Married-civ-spouse,>50K
38,Masters,Male,Husband,Married-civ-spouse,>50K
23,HS-grad,Male,Own-child,Never-married,<=50K
40,Bachelors,Male,Husband,Married-civ-spouse,>50K
41,HS-grad,Female,Wife,Married-civ-spouse,<=50K
24,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
20,Some-college,Male,Own-child,Never-married,<=50K
38,Some-college,Male,Not-in-family,Divorced,<=50K
56,HS-grad,Male,Husband,Married-civ-spouse,<=50K
58,HS-grad,Male,Husband,Married-civ-spouse,>50K
32,HS-grad,Female,Not-in-family,Never-married,<=50K
40,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
45,HS-grad,Male,Husband,Married-civ-spouse,<=50K
41,Prof-school,Female,Wife,Married-civ-spouse,>50K
42,Bachelors,Female,Wife,Married-civ-spouse,<=50K
59,10th,Female,Unmarried,Widowed,<=50K
19,Some-college,Male,Own-child,Never-married,<=50K
58,Some-college,Male,Not-in-family,Never-married,<=50K
42,HS-grad,Male,Husband,Married-civ-spouse,>50K
20,HS-grad,Female,Own-child,Never-married,<=50K
32,HS-grad,Female,Not-in-family,Separated,<=50K
45,Assoc-voc,Female,Not-in-family,Widowed,<=50K
50,7th-8th,Male,Not-in-family,Divorced,<=50K
36,Bachelors,Female,Own-child,Divorced,<=50K
45,HS-grad,Male,Husband,Married-civ-spouse,<=50K
17,11th,Male,Own-child,Never-married,<=50K
59,Some-college,Male,Husband,Married-civ-spouse,<=50K
26,11th,Male,Husband,Married-civ-spouse,<=50K
37,Some-college,Male,Husband,Married-civ-spouse,>50K
19,Some-college,Male,Own-child,Never-married,<=50K
64,HS-grad,Male,Husband,Married-civ-spouse,>50K
33,Bachelors,Female,Not-in-family,Never-married,<=50K
33,HS-grad,Female,Wife,Married-civ-spouse,>50K
61,HS-grad,Male,Husband,Married-civ-spouse,>50K
17,9th,Male,Own-child,Never-married,<=50K
50,Masters,Male,Husband,Married-civ-spouse,<=50K
27,Masters,Male,Own-child,Never-married,<=50K
30,HS-grad,Female,Own-child,Divorced,<=50K
43,HS-grad,Male,Husband,Married-civ-spouse,<=50K
44,Some-college,Male,Husband,Married-civ-spouse,>50K
35,Some-college,Female,Not-in-family,Never-married,<=50K
25,Some-college,Female,Own-child,Never-married,<=50K
24,Some-college,Female,Wife,Married-civ-spouse,>50K
22,Bachelors,Female,Not-in-family,Never-married,<=50K
42,Some-college,Male,Husband,Married-civ-spouse,>50K
34,Assoc-acdm,Female,Unmarried,Divorced,<=50K
60,Bachelors,Female,Not-in-family,Divorced,<=50K
21,HS-grad,Male,Own-child,Never-married,<=50K
57,Masters,Male,Husband,Married-civ-spouse,>50K
41,Prof-school,Male,Husband,Married-civ-spouse,>50K
50,Some-college,Male,Not-in-family,Divorced,<=50K
25,Bachelors,Female,Not-in-family,Never-married,<=50K
50,7th-8th,Male,Husband,Married-civ-spouse,<=50K
36,Bachelors,Male,Husband,Married-civ-spouse,<=50K
31,HS-grad,Female,Not-in-family,Divorced,<=50K
29,Bachelors,Male,Not-in-family,Never-married,<=50K
21,Some-college,Male,Own-child,Never-married,<=50K
27,Bachelors,Female,Unmarried,Never-married,<=50K
65,HS-grad,Male,Husband,Married-civ-spouse,<=50K
37,Bachelors,Female,Not-in-family,Divorced,<=50K
39,Masters,Female,Wife,Married-civ-spouse,<=50K
24,HS-grad,Male,Own-child,Never-married,<=50K
38,HS-grad,Male,Not-in-family,Divorced,<=50K
48,Bachelors,Male,Husband,Married-civ-spouse,>50K
21,Some-college,Female,Not-in-family,Never-married,<=50K
31,HS-grad,Male,Husband,Married-civ-spouse,>50K
55,HS-grad,Male,Husband,Married-civ-spouse,>50K
24,Some-college,Female,Wife,Married-civ-spouse,<=50K
43,HS-grad,Female,Not-in-family,Divorced,<=50K
26,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
46,Assoc-acdm,Female,Not-in-family,Never-married,<=50K
35,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
41,Some-college,Male,Husband,Married-civ-spouse,>50K
26,Bachelors,Male,Not-in-family,Never-married,<=50K
34,Masters,Male,Husband,Married-civ-spouse,>50K
19,Some-college,Female,Own-child,Never-married,<=50K
36,Bachelors,Female,Not-in-family,Divorced,>50K
22,Some-college,Male,Own-child,Never-married,<=50K
24,Some-college,Male,Not-in-family,Never-married,<=50K
77,Some-college,Male,Husband,Married-civ-spouse,<=50K
22,5th-6th,Female,Other-relative,Married-civ-spouse,<=50K
29,Some-college,Female,Not-in-family,Never-married,<=50K
62,HS-grad,Female,Not-in-family,Widowed,<=50K
39,HS-grad,Male,Husband,Married-civ-spouse,<=50K
43,Some-college,Male,Husband,Married-civ-spouse,<=50K
35,HS-grad,Male,Not-in-family,Divorced,<=50K
29,11th,Female,Not-in-family,Never-married,<=50K
76,Masters,Male,Husband,Married-civ-spouse,<=50K
63,HS-grad,Male,Husband,Married-civ-spouse,<=50K
23,Assoc-voc,Female,Own-child,Never-married,<=50K
43,Some-college,Female,Wife,Married-civ-spouse,>50K
58,HS-grad,Male,Husband,Married-civ-spouse,<=50K
66,HS-grad,Male,Not-in-family,Never-married,<=50K
41,Some-college,Male,Not-in-family,Never-married,<=50K
26,Bachelors,Male,Not-in-family,Never-married,<=50K
47,Assoc-voc,Male,Not-in-family,Never-married,<=50K
55,10th,Male,Husband,Married-civ-spouse,<=50K
53,HS-grad,Male,Husband,Married-civ-spouse,<=50K
17,5th-6th,Male,Other-relative,Never-married,<=50K
30,HS-grad,Male,Other-relative,Never-married,<=50K
49,Masters,Male,Not-in-family,Never-married,<=50K
19,HS-grad,Male,Unmarried,Never-married,<=50K
45,HS-grad,Male,Husband,Married-civ-spouse,<=50K
26,Assoc-acdm,Male,Not-in-family,Never-married,<=50K
38,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
36,HS-grad,Male,Husband,Married-civ-spouse,>50K
33,HS-grad,Male,Not-in-family,Never-married,<=50K
22,Some-college,Female,Own-child,Never-married,<=50K
43,Bachelors,Male,Not-in-family,Never-married,<=50K
67,11th,Male,Husband,Married-civ-spouse,<=50K
30,Assoc-voc,Female,Unmarried,Divorced,<=50K
56,Assoc-acdm,Male,Not-in-family,Married-spouse-absent,<=50K
31,Bachelors,Male,Own-child,Never-married,<=50K
33,Bachelors,Male,Husband,Married-civ-spouse,>50K
26,HS-grad,Male,Husband,Married-civ-spouse,<=50K
33,Bachelors,Male,Husband,Married-civ-spouse,>50K
46,11th,Male,Husband,Married-civ-spouse,<=50K
59,Bachelors,Male,Husband,Married-civ-spouse,>50K
38,HS-grad,Male,Husband,Married-civ-spouse,>50K
65,11th,Male,Unmarried,Widowed,<=50K
40,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
42,HS-grad,Female,Wife,Married-civ-spouse,<=50K
26,9th,Male,Husband,Married-civ-spouse,<=50K
36,10th,Female,Wife,Married-civ-spouse,<=50K
62,Masters,Male,Husband,Married-civ-spouse,>50K
43,Bachelors,Male,Husband,Married-civ-spouse,<=50K
43,Bachelors,Male,Not-in-family,Divorced,>50K
22,HS-grad,Male,Not-in-family,Married-spouse-absent,<=50K
28,HS-grad,Male,Husband,Married-civ-spouse,<=50K
56,Some-college,Male,Husband,Married-civ-spouse,<=50K
22,Assoc-acdm,Female,Not-in-family,Never-married,<=50K
57,Bachelors,Female,Not-in-family,Divorced,>50K
39,HS-grad,Female,Unmarried,Divorced,<=50K
26,Some-college,Female,Unmarried,Never-married,<=50K
17,11th,Male,Own-child,Never-married,<=50K
40,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
45,HS-grad,Male,Husband,Married-civ-spouse,<=50K
44,HS-grad,Male,Not-in-family,Never-married,<=50K
20,Some-college,Female,Own-child,Never-married,<=50K
33,HS-grad,Female,Wife,Married-civ-spouse,<=50K
23,Some-college,Male,Not-in-family,Never-married,<=50K
46,Masters,Male,Not-in-family,Divorced,<=50K
38,HS-grad,Male,Husband,Married-civ-spouse,<=50K
54,HS-grad,Male,Not-in-family,Divorced,<=50K
46,5th-6th,Female,Not-in-family,Divorced,<=50K
25,Some-college,Male,Husband,Married-civ-spouse,<=50K
46,Some-college,Female,Not-in-family,Divorced,<=50K
36,Some-college,Female,Wife,Married-civ-spouse,<=50K
23,HS-grad,Female,Not-in-family,Never-married,<=50K
29,HS-grad,Male,Not-in-family,Separated,<=50K
44,Some-college,Female,Wife,Married-civ-spouse,>50K
19,Some-college,Female,Own-child,Never-married,<=50K
19,HS-grad,Female,Other-relative,Never-married,<=50K
35,HS-grad,Female,Wife,Married-civ-spouse,>50K
27,Bachelors,Male,Not-in-family,Never-married,<=50K
46,Assoc-acdm,Male,Not-in-family,Separated,<=50K
34,Bachelors,Male,Husband,Married-civ-spouse,>50K
34,HS-grad,Female,Not-in-family,Never-married,<=50K
44,Some-college,Male,Husband,Married-civ-spouse,<=50K
45,Some-college,Female,Unmarried,Divorced,<=50K
20,HS-grad,Female,Other-relative,Never-married,<=50K
25,Bachelors,Male,Husband,Married-civ-spouse,>50K
52,Bachelors,Male,Husband,Married-civ-spouse,>50K
20,Some-college,Male,Own-child,Never-married,<=50K
28,Some-college,Female,Not-in-family,Never-married,<=50K
50,Bachelors,Male,Husband,Married-civ-spouse,>50K
34,Assoc-voc,Female,Not-in-family,Divorced,<=50K
28,7th-8th,Male,Husband,Married-civ-spouse,<=50K
41,Masters,Male,Husband,Married-civ-spouse,>50K
28,HS-grad,Male,Husband,Married-civ-spouse,<=50K
46,HS-grad,Male,Husband,Married-civ-spouse,<=50K
28,Some-college,Female,Wife,Married-civ-spouse,>50K
32,Some-college,Male,Husband,Married-civ-spouse,<=50K
41,Some-college,Female,Not-in-family,Divorced,<=50K
24,HS-grad,Female,Unmarried,Never-married,<=50K
33,Some-college,Female,Unmarried,Divorced,<=50K
46,Doctorate,Male,Husband,Married-civ-spouse,>50K
31,Some-college,Male,Husband,Married-civ-spouse,<=50K
35,12th,Male,Not-in-family,Divorced,>50K
52,1st-4th,Male,Husband,Married-civ-spouse,<=50K
30,11th,Female,Own-child,Never-married,<=50K
34,11th,Male,Not-in-family,Separated,<=50K
34,HS-grad,Female,Unmarried,Divorced,<=50K
20,Some-college,Male,Husband,Married-civ-spouse,<=50K
17,11th,Male,Own-child,Never-married,<=50K
32,Bachelors,Female,Wife,Married-civ-spouse,>50K
29,HS-grad,Male,Not-in-family,Divorced,<=50K
33,10th,Female,Unmarried,Never-married,<=50K
25,HS-grad,Male,Husband,Married-civ-spouse,<=50K
36,Masters,Male,Not-in-family,Never-married,<=50K
23,HS-grad,Male,Not-in-family,Never-married,<=50K
63,HS-grad,Male,Husband,Married-civ-spouse,>50K
47,Masters,Male,Husband,Married-civ-spouse,<=50K
80,HS-grad,Male,Not-in-family,Widowed,<=50K
17,11th,Male,Own-child,Never-married,<=50K
40,Bachelors,Female,Not-in-family,Married-spouse-absent,<=50K
30,Assoc-acdm,Female,Wife,Married-civ-spouse,>50K
27,Some-college,Male,Own-child,Never-married,<=50K
33,Masters,Male,Husband,Married-civ-spouse,>50K
34,HS-grad,Male,Not-in-family,Never-married,<=50K
34,Some-college,Female,Not-in-family,Never-married,<=50K
23,Some-college,Male,Husband,Married-civ-spouse,<=50K
42,Some-college,Female,Wife,Married-civ-spouse,<=50K
29,Bachelors,Male,Not-in-family,Never-married,<=50K
45,HS-grad,Female,Not-in-family,Divorced,<=50K
24,HS-grad,Male,Own-child,Never-married,<=50K
44,Some-college,Male,Husband,Married-civ-spouse,>50K
27,9th,Male,Other-relative,Never-married,<=50K
20,Some-college,Male,Not-in-family,Never-married,<=50K
44,HS-grad,Female,Unmarried,Widowed,<=50K
51,HS-grad,Male,Husband,Married-civ-spouse,<=50K
20,HS-grad,Male,Husband,Married-civ-spouse,<=50K
17,11th,Female,Own-child,Never-married,<=50K
19,HS-grad,Female,Own-child,Never-married,<=50K
45,Some-college,Male,Husband,Married-civ-spouse,>50K
60,HS-grad,Male,Husband,Married-civ-spouse,>50K
42,Assoc-acdm,Male,Husband,Married-civ-spouse,>50K
44,HS-grad,Female,Wife,Married-civ-spouse,>50K
40,Assoc-voc,Male,Husband,Married-civ-spouse,>50K
30,HS-grad,Female,Wife,Married-civ-spouse,<=50K
38,Some-college,Male,Husband,Married-civ-spouse,<=50K
23,HS-grad,Male,Husband,Married-civ-spouse,<=50K
32,Some-college,Male,Husband,Married-civ-spouse,<=50K
44,Assoc-acdm,Male,Own-child,Never-married,<=50K
54,HS-grad,Male,Husband,Married-civ-spouse,<=50K
32,Bachelors,Male,Husband,Married-civ-spouse,<=50K
50,1st-4th,Male,Unmarried,Married-spouse-absent,<=50K
24,Bachelors,Female,Not-in-family,Never-married,<=50K
37,HS-grad,Female,Wife,Married-civ-spouse,<=50K
52,HS-grad,Male,Unmarried,Divorced,<=50K
38,Some-college,Male,Husband,Married-civ-spouse,<=50K
49,Masters,Male,Husband,Married-civ-spouse,>50K
30,Bachelors,Female,Wife,Married-civ-spouse,>50K
60,Some-college,Male,Unmarried,Never-married,>50K
22,Some-college,Male,Own-child,Never-married,<=50K
35,HS-grad,Male,Not-in-family,Never-married,<=50K
30,HS-grad,Male,Not-in-family,Never-married,<=50K
67,Assoc-voc,Female,Not-in-family,Divorced,<=50K
46,Bachelors,Female,Not-in-family,Never-married,<=50K
17,9th,Male,Not-in-family,Never-married,<=50K
22,Some-college,Male,Own-child,Never-married,<=50K
27,10th,Male,Not-in-family,Never-married,<=50K
23,HS-grad,Female,Unmarried,Never-married,<=50K
33,Assoc-acdm,Male,Husband,Married-civ-spouse,<=50K
43,Some-college,Male,Husband,Married-civ-spouse,<=50K
28,Bachelors,Male,Not-in-family,Never-married,<=50K
41,HS-grad,Female,Unmarried,Married-spouse-absent,<=50K
52,12th,Male,Other-relative,Never-married,<=50K
25,Some-college,Female,Own-child,Married-spouse-absent,<=50K
63,1st-4th,Male,Husband,Married-civ-spouse,<=50K
59,HS-grad,Male,Husband,Married-civ-spouse,<=50K
45,Bachelors,Female,Unmarried,Divorced,<=50K
38,Bachelors,Male,Husband,Married-civ-spouse,>50K
40,HS-grad,Female,Not-in-family,Never-married,<=50K
46,HS-grad,Male,Not-in-family,Divorced,<=50K
35,Assoc-acdm,Female,Not-in-family,Never-married,<=50K
34,HS-grad,Female,Unmarried,Divorced,<=50K
33,Bachelors,Male,Own-child,Never-married,<=50K
41,HS-grad,Female,Unmarried,Divorced,<=50K
20,Some-college,Male,Own-child,Never-married,<=50K
23,5th-6th,Male,Own-child,Never-married,<=50K
